,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.000136,0.001605,0.004925,0.001264,0.003148,0.001688,0.00132,0.005052,0.001296,0.001644,0.006435,0.009654,0.004643,0.005195,0.001626,0.002471,0.003174,0.006037,0.005477,0.000946,0.000184,0.001136,7.12e-05,0.001424,0.000985,0.000424,0,0,0.000383,0.000958,0.003225
б,0.001451,8.90e-06,9.20e-05,0,2.97e-05,0.002557,1.19e-05,8.90e-06,0.001148,0,0.000104,0.00146,8.01e-05,0.000258,0.002771,2.97e-06,0.001706,0.000184,1.48e-05,0.001409,0,7.12e-05,0,8.90e-06,2.67e-05,0.000163,0.004664,0.000151,0.000151,0,0.000415
в,0.006328,0.000225,0.000365,0.000193,0.000679,0.007619,5.04e-05,0.000872,0.003344,0,0.000902,0.001041,0.000291,0.001516,0.007536,0.000961,0.001362,0.002896,0.00086,0.001065,2.97e-06,7.12e-05,3.26e-05,0.000234,0.001415,8.90e-05,0.003085,0.000148,0.000276,5.93e-06,0.000303
г,0.001154,8.01e-05,5.93e-05,1.19e-05,0.00167,0.000208,1.19e-05,2.67e-05,0.00084,0,0.000148,0.001605,5.64e-05,0.000436,0.00925,9.79e-05,0.001127,0.000119,3.86e-05,0.000638,0,2.97e-06,0,3.86e-05,5.93e-06,0,0,0,5.93e-05,2.97e-06,2.97e-06
д,0.005159,6.23e-05,0.001243,6.82e-05,8.31e-05,0.005497,0.00135,0.000199,0.002697,0,0.000329,0.001092,0.000166,0.002409,0.005011,0.000172,0.00119,0.00051,0.000383,0.001682,2.97e-06,9.79e-05,0.000225,8.60e-05,0.000101,0,0.000644,0.000762,5.93e-06,2.97e-05,0.000415
е,0.000145,0.002367,0.003625,0.004361,0.004925,0.002041,0.001139,0.002029,0.001234,0.002519,0.002151,0.006411,0.005595,0.010577,0.001715,0.003005,0.009873,0.007277,0.00656,0.000902,7.12e-05,0.000697,0.000398,0.001955,0.001107,0.000795,0,0,0.000395,0.00022,0.000481
ж,0.001682,2.67e-05,5.93e-06,1.48e-05,0.000917,0.00405,2.97e-06,0,0.002044,0,0.000131,1.48e-05,2.97e-06,0.001107,5.34e-05,1.78e-05,2.97e-06,2.67e-05,8.90e-06,0.000148,0,5.93e-06,0,8.90e-05,0,0,0,1.78e-05,5.93e-06,0,8.90e-06
з,0.00688,0.000267,0.001104,0.000534,0.001086,0.000258,7.12e-05,0.000119,0.000656,0,0.000406,0.000317,0.000401,0.00205,0.00062,0.000178,0.00049,0.000139,7.71e-05,0.000475,2.97e-06,0,5.93e-06,7.12e-05,1.19e-05,0,0.000371,0.000104,4.75e-05,0,0.000258
и,0.000199,0.001623,0.006693,0.001006,0.002762,0.00324,0.000424,0.002807,0.001836,0.001032,0.003664,0.006898,0.004234,0.005373,0.00194,0.002531,0.001145,0.007992,0.005675,0.000679,3.86e-05,0.002216,0.001092,0.001421,0.000709,0.000255,2.97e-06,0,0.000288,0.000403,0.001605
й,9.49e-05,0.000436,0.000807,0.000255,0.000917,0.000175,0.000163,0.000214,0.000555,0,0.001169,0.000531,0.000771,0.001035,0.000679,0.000958,0.000341,0.001448,0.001,0.000223,6.82e-05,5.93e-05,0.000101,0.000427,0.000225,1.48e-05,0,0,8.01e-05,2.97e-06,7.12e-05
