,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.000177,0.001688,0.004907,0.001307,0.003008,0.00174,0.001218,0.005069,0.00124,0.00162,0.006485,0.009663,0.00475,0.005202,0.001558,0.002421,0.003179,0.006058,0.005558,0.001004,0.000178,0.001104,7.71e-05,0.001427,0.000933,0.000427,0,0,0.000375,0.000946,0.003198
б,0.001457,8.90e-06,9.35e-05,1.48e-06,3.41e-05,0.002575,7.42e-06,5.93e-06,0.001147,0,0.000117,0.001488,8.90e-05,0.000285,0.002701,1.04e-05,0.001682,0.00019,7.42e-06,0.0014,0,6.97e-05,1.48e-06,7.42e-06,2.37e-05,0.000185,0.004673,0.000147,0.000165,1.48e-06,0.000452
в,0.006383,0.000223,0.000359,0.000231,0.000708,0.007617,5.93e-05,0.000847,0.003496,0,0.000899,0.001052,0.000292,0.001535,0.007555,0.000942,0.001329,0.002965,0.000869,0.001113,8.90e-06,6.53e-05,4.15e-05,0.000221,0.001366,9.20e-05,0.003078,0.000165,0.000276,4.45e-06,0.000288
г,0.00113,6.82e-05,7.27e-05,1.19e-05,0.001706,0.000208,7.42e-06,2.67e-05,0.000785,0,0.000163,0.001635,4.75e-05,0.00046,0.009178,9.35e-05,0.001191,0.000136,4.15e-05,0.000629,0,4.45e-06,0,4.90e-05,2.97e-06,0,0,0,5.04e-05,1.48e-06,1.19e-05
д,0.005073,8.31e-05,0.001268,6.53e-05,8.01e-05,0.005346,0.001335,0.000187,0.00271,0,0.000313,0.001026,0.00016,0.002347,0.005038,0.000181,0.001196,0.000553,0.000347,0.001715,7.42e-06,9.20e-05,0.00026,7.42e-05,8.46e-05,1.48e-06,0.00063,0.000765,1.78e-05,2.23e-05,0.000451
е,0.000138,0.002366,0.003658,0.00432,0.004919,0.002111,0.001188,0.002,0.00119,0.002548,0.002124,0.006594,0.005677,0.010452,0.001685,0.002968,0.009922,0.007202,0.006545,0.000865,6.97e-05,0.000712,0.000384,0.001912,0.00105,0.00078,0,0,0.000343,0.000209,0.000476
ж,0.001669,2.52e-05,8.90e-06,1.19e-05,0.000961,0.00406,5.93e-06,1.48e-06,0.002047,0,0.000132,1.34e-05,5.93e-06,0.001062,4.90e-05,1.48e-05,5.93e-06,2.37e-05,1.34e-05,0.000181,0,2.97e-06,0,0.000111,0,0,0,2.67e-05,5.93e-06,0,5.93e-06
з,0.006875,0.000237,0.00113,0.000516,0.001096,0.000289,6.97e-05,0.000101,0.000654,0,0.000362,0.000322,0.000411,0.002078,0.000584,0.000177,0.000497,0.000144,9.64e-05,0.00053,7.42e-06,1.48e-06,4.45e-06,6.08e-05,1.93e-05,0,0.000355,0.000113,5.49e-05,0,0.000283
и,0.000221,0.001698,0.006659,0.000972,0.002796,0.003203,0.000452,0.002836,0.001807,0.001078,0.003708,0.006935,0.004198,0.005462,0.00198,0.002554,0.001222,0.007828,0.005563,0.000675,6.53e-05,0.002213,0.001096,0.001353,0.000776,0.00022,1.48e-06,0,0.00028,0.000363,0.001615
й,9.05e-05,0.000415,0.000745,0.000208,0.000909,0.000169,0.000169,0.000211,0.000617,0,0.001167,0.000546,0.000749,0.001083,0.000636,0.000978,0.000323,0.001423,0.000992,0.000223,6.68e-05,6.08e-05,9.35e-05,0.000441,0.000223,2.23e-05,0,0,8.60e-05,8.90e-06,6.97e-05
