Літера,Кількість,Частота
о,74523,0.110546
е,56902,0.084407
а,51583,0.076517
и,47076,0.069832
н,41486,0.061539
т,41031,0.060864
с,37542,0.055689
л,36180,0.053669
в,29716,0.04408
р,29196,0.043309
м,23268,0.034515
к,23181,0.034386
д,21188,0.03143
у,19815,0.029393
п,17450,0.025885
ь,13436,0.019931
я,13260,0.01967
б,12826,0.019026
ы,12707,0.018849
г,11939,0.01771
з,11507,0.017069
ч,9907,0.014696
й,8578,0.012724
ж,7041,0.010444
ш,5862,0.008696
х,5353,0.007941
ю,3659,0.005428
э,2950,0.004376
щ,2259,0.003351
ц,1842,0.002732
ф,874,0.001296
