, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0,0.001293,0.007684,0.013823,0.003228,0.007567,0.004538,0.001592,0.004503,0.009273,1.24e-06,0.008795,0.002676,0.00838,0.014732,0.012706,0.015484,0.003678,0.016877,0.00718,0.004533,0.000807,0.00135,0.00025,0.005036,0.000911,7.21e-05,2.49e-06,4.97e-06,0.002793,0.000159,0.001776
а,0.016052,0,0.000696,0.002858,0.000777,0.001762,0.000959,0.000885,0.003798,0.000132,0.001358,0.004554,0.007873,0.003111,0.002674,6.22e-06,0.000586,0.002257,0.003471,0.003974,0.000399,6.71e-05,0.00078,3.36e-05,0.000836,0.000639,0.000357,0,0,0,0.000788,0.002462
б,0.000251,0.00122,6.22e-06,6.84e-05,1.24e-06,2.36e-05,0.002155,6.22e-06,1.24e-06,0.000939,0,9.33e-05,0.001245,6.71e-05,0.000229,0.002232,0,0.001409,0.000148,3.73e-06,0.001159,0,5.60e-05,1.24e-06,2.49e-06,1.99e-05,0.000155,0.003916,0.000123,3.73e-05,1.24e-06,0.000379
в,0.005388,0.005328,6.22e-06,3.85e-05,1.24e-06,0.000279,0.006256,0,0.000607,0.002716,0,0.000213,0.000749,0.000101,0.000928,0.005988,0.000284,0.000939,0.001881,0.000238,0.000817,0,1.99e-05,2.86e-05,3.73e-05,0.001096,7.71e-05,0.00258,0.000138,0,0,0.00022
г,0.000722,0.000939,0,7.46e-06,0,0.001395,0.000149,0,0,0.000608,0,9.82e-05,0.001368,9.95e-06,0.000313,0.007645,0,0.000981,2.61e-05,1.49e-05,0.000502,0,0,0,3.36e-05,0,0,0,0,3.23e-05,0,0
д,0.001176,0.004233,3.98e-05,0.000994,1.99e-05,3.11e-05,0.004451,0.001109,0.000102,0.002179,0,0.000195,0.000813,8.08e-05,0.001806,0.004152,6.09e-05,0.000972,0.000338,0.000256,0.001411,0,6.71e-05,0.000216,2.11e-05,6.47e-05,0,0.000528,0.000642,1.24e-06,1.87e-05,0.000368
е,0.016511,1.24e-05,0.001128,0.001673,0.0033,0.003433,0.001384,0.000842,0.001084,0.000106,0.002136,0.001015,0.005204,0.003712,0.007485,0.000147,0.000791,0.007955,0.004306,0.004794,0.000167,0,0.000435,0.000302,0.001007,0.000806,0.000643,0,0,0,0.000163,0.000218
ж,0.000129,0.001398,1.62e-05,0,6.22e-06,0.000802,0.003397,3.73e-06,0,0.001712,0,0.000102,8.70e-06,1.24e-06,0.000868,3.11e-05,0,4.97e-06,1.12e-05,1.24e-06,0.000149,0,0,0,9.08e-05,0,0,0,2.24e-05,0,0,0
з,0.001476,0.005751,0.000153,0.000812,0.000388,0.000807,0.000213,4.97e-05,2.61e-05,0.000499,0,0.000157,0.000251,0.000282,0.00162,0.000399,0,0.000372,1.24e-06,1.49e-05,0.000405,0,0,1.24e-06,1.99e-05,2.49e-06,0,0.000297,9.45e-05,0,0,0.000216
и,0.018057,4.23e-05,0.00049,0.00386,0.00046,0.001567,0.00217,0.000235,0.001798,0.00045,0.000904,0.002167,0.005578,0.002728,0.003052,0.000109,0.000165,0.000629,0.00464,0.003906,6.22e-06,1.87e-05,0.001721,0.0009,0.000737,0.000532,0.00018,1.24e-06,0,0,0.000285,0.001149
й,0.008079,0,0,6.22e-06,4.97e-06,0.000189,1.62e-05,0,3.73e-06,0,0,0.000505,0.00028,4.10e-05,0.000333,4.97e-06,6.22e-05,1.24e-06,0.0003,0.000561,0,0,0,2.49e-05,0.000119,0.000136,0,0,0,0,0,0
к,0.004409,0.007273,0,0.000101,0,0,0.000395,4.73e-05,1.24e-06,0.002393,0,7.46e-06,0.000929,0,0.000653,0.008058,0,0.001761,0.000662,0.000561,0.001551,0,1.24e-06,2.49e-06,0,4.97e-06,0,0,1.24e-06,1.24e-05,2.49e-06,0
л,0.008115,0.005746,2.86e-05,4.23e-05,0.000148,6.34e-05,0.004106,0.000357,1.12e-05,0.008201,0,0.000398,0.000178,1.62e-05,0.000306,0.005981,9.33e-05,0,0.001728,0.000114,0.00166,1.12e-05,0,0,0.000134,2.49e-06,3.73e-06,0.000816,0.004446,0,0.000777,0.001506
м,0.008021,0.002519,0.00051,0,3.11e-05,1.24e-06,0.003786,0,3.73e-06,0.004509,0,0.000116,0.000159,1.99e-05,0.001482,0.003714,7.34e-05,9.70e-05,8.83e-05,1.12e-05,0.002105,3.48e-05,1.24e-06,2.74e-05,5.97e-05,0,4.23e-05,0.000925,7.46e-05,0.000123,0,0.000398
н,0.003937,0.008632,6.22e-06,9.95e-06,0.000159,0.000165,0.008537,2.49e-06,1.12e-05,0.007452,0,0.000407,0.000223,0,0.002262,0.008677,0,3.98e-05,0.000453,0.000814,0.003043,2.49e-06,3.73e-06,0.000194,0.000167,2.49e-06,0.000182,0.003263,0.001118,0.00016,0.000162,0.001503
о,0.019635,0,0.003918,0.005882,0.004718,0.004469,0.001895,0.001854,0.001488,0.00075,0.003987,0.002235,0.00677,0.005639,0.005585,0.000154,0.001159,0.004904,0.006081,0.007058,0.000286,6.34e-05,0.000475,5.10e-05,0.001673,0.000722,0.000236,0,0,0.000188,0.00019,0.000604
п,3.23e-05,0.001023,0,0,0,0,0.001825,0,0,0.000772,0,0.000109,0.000833,0,0.000144,0.008807,1.87e-05,0.006647,1.24e-06,9.45e-05,0.000782,0,0,4.97e-06,1.49e-05,3.73e-06,0,0.000293,5.35e-05,0,2.49e-06,0.000236
р,0.002625,0.006949,0.000157,0.000276,0.000144,0.000368,0.005616,0.000384,7.34e-05,0.00459,0,0.000218,0.000286,0.000192,0.000962,0.006638,0.000126,7.46e-05,0.000155,0.00051,0.002354,9.95e-06,0.000107,3.98e-05,8.95e-05,0.00017,1.49e-05,0.001643,0.000558,2.49e-06,0.000122,0.000852
с,0.004039,0.001813,0.000112,0.001566,1.62e-05,0.000271,0.002742,4.60e-05,7.46e-06,0.001911,0,0.003586,0.003489,0.000862,0.001027,0.002335,0.001728,0.000141,0.000814,0.011098,0.000782,0,0.000242,5.35e-05,0.000307,6.34e-05,3.73e-06,0.000259,0.003364,0.000254,0.000194,0.003556
т,0.005075,0.005292,3.11e-05,0.002634,3.73e-06,0.000107,0.006693,0,3.73e-06,0.003867,0,0.000659,0.000856,2.36e-05,0.001101,0.012296,0.000153,0.002297,0.001114,0.000112,0.001318,8.70e-06,2.36e-05,3.11e-05,0.000111,2.98e-05,1.99e-05,0.001103,0.005408,0,9.33e-05,0.00056
у,0.006722,3.11e-05,0.000485,0.000749,0.001161,0.002043,0.00029,0.001125,0.000255,0.000162,0.000118,0.000914,0.001822,0.001061,0.000532,1.12e-05,0.00064,0.000279,0.001195,0.001568,0,1.99e-05,0.000444,1.24e-05,0.000913,0.000812,0.00022,0,0,1.49e-05,0.000999,4.23e-05
ф,4.23e-05,9.33e-05,0,0,0,0,0.000466,0,0,0.000163,0,0,9.95e-06,1.24e-06,0,9.70e-05,0,3.23e-05,6.22e-06,1.24e-06,9.20e-05,2.74e-05,0,0,0,0,0,4.97e-06,0,4.23e-05,0,7.46e-06
х,0.003027,0.000471,0,0.000219,0,0,2.49e-05,0,0,0.000216,0,0,0.00015,5.97e-05,0.000175,0.001996,1.24e-06,0.000128,3.73e-05,2.49e-06,0.000124,4.97e-06,0,0,0,9.95e-06,0,0,1.24e-06,7.46e-06,0,0
ц,0.000311,0.000567,0,4.60e-05,0,0,0.000741,0,0,9.58e-05,0,1.24e-05,1.24e-06,1.24e-06,0,0.000224,0,0,0,0,0.000123,0,0,0,0,0,0,0.000168,0,0,0,0
ч,6.59e-05,0.002121,0,6.22e-06,0,0,0.003127,0,0,0.001995,0,0.000234,3.48e-05,2.49e-06,0.000612,7.34e-05,0,3.36e-05,0,0.003069,0.000527,0,0,0,0,0.00016,0,0,0.000257,0,0,0
ш,5.60e-05,0.000966,0,2.49e-05,0,0,0.002151,0,0,0.001811,0,0.000669,0.00055,3.36e-05,0.000199,0.000164,1.49e-05,2.49e-06,0,5.84e-05,0.000264,0,0,0,0,0,0,0,0.000326,0,0,0
щ,2.36e-05,0.000428,0,0,0,0,0.001199,0,0,0.000926,0,0,0,0,7.21e-05,2.49e-06,0,2.49e-06,0,0,7.96e-05,0,0,0,0,0,0,0,7.59e-05,0,0,0
ы,0.004709,0,0.000168,0.000764,8.83e-05,7.59e-05,0.001026,1.99e-05,0.000101,9.95e-06,0.001944,0.000122,0.001903,0.001405,0.000218,0,0.000169,0.000264,0.000624,0.00072,0,0,0.000767,1.24e-06,0.000148,0.000537,1.37e-05,0,0,0,0,4.97e-06
ь,0.010039,0,7.71e-05,3.73e-06,4.48e-05,1.62e-05,0.000348,0,0.000141,4.85e-05,0,0.001028,0,0.00066,0.001309,2.11e-05,0,0,0.000931,0.000108,0,2.49e-06,0,7.59e-05,0.000536,0.000543,3.11e-05,0,0,0,0.000455,0.000287
