Літера,Кількість,Частота
 ,130039,0.161705
о,74523,0.09267
е,56902,0.070758
а,51583,0.064144
и,47076,0.058539
н,41486,0.051588
т,41031,0.051022
с,37542,0.046684
л,36180,0.04499
в,29716,0.036952
р,29196,0.036305
м,23268,0.028934
к,23181,0.028826
д,21188,0.026347
у,19815,0.02464
п,17450,0.021699
ь,13436,0.016708
я,13260,0.016489
б,12826,0.015949
ы,12707,0.015801
г,11939,0.014846
з,11507,0.014309
ч,9907,0.012319
й,8578,0.010667
ж,7041,0.008756
ш,5862,0.007289
х,5353,0.006657
ю,3659,0.00455
э,2950,0.003668
щ,2259,0.002809
ц,1842,0.002291
ф,874,0.001087
