,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0003204534772762879,0.00130555120371821,0.005215083626488922,0.0010159562094388978,0.0031356966183850093,0.0019607005350386207,0.002190952292785287,0.004524328353248923,0.0016188834926105801,0.0010990367405846022,0.00770749956086005,0.008666486263227607,0.004797307241299095,0.005924828735419367,0.0013340359572538798,0.002791505846495663,0.002620597325281643,0.0074368944022711846,0.0062618983189247955,0.0006290383072460466,0.00010207036683615095,0.0013530257929443266,9.020171952962177e-05,0.001823024226282882,0.0011251477646589663,0.00031333228889237035,0.0,0.0,0.0,0.0003513119602732637,0.0010373197745906504,0.0027986270348795807
б,0.0007690883454630909,4.747458922611672e-06,7.595934276178675e-05,0.0,2.6111024074364197e-05,0.002535143064674633,0.0,2.1363565151752523e-05,0.0009637341612901694,0.0,0.00016853479175271436,0.0008141892052279017,6.409069545525757e-05,0.0002967161826632295,0.002347618437231472,1.1868647306529181e-05,0.0013577732518669382,0.0002777263469727828,2.3737294613058362e-05,0.001578530091768381,0.0,5.6969507071340066e-05,2.373729461305836e-06,4.5100859764810885e-05,1.6616106229140852e-05,0.0002041407336723019,0.00015666614444618518,0.004526702082710229,6.171696599395174e-05,9.732290791353927e-05,1.4242376767835016e-05,0.0008213103936118193
в,0.006627452655965894,0.00021600938097883108,0.0004676247038772497,0.000246867863975807,0.0012913088269503748,0.006114727092323834,4.5100859764810885e-05,0.0007928256400761492,0.00396175447091944,4.747458922611672e-06,0.0006385332250912699,0.0007334824035435033,0.000246867863975807,0.002430698968377176,0.007759721609008778,0.001101410470045908,0.0008474214176861835,0.005051296293658819,0.0007833307222309259,0.0009542392434449461,1.4242376767835016e-05,0.00011631274360398597,4.0353400842199214e-05,0.000405907737883298,0.0008450476882248776,0.0,7.121188383917508e-06,0.003168928830843291,0.00019939327474969022,0.0003157060183536762,9.494917845223344e-06,0.00026823142912755946
г,0.0012224706725725055,3.085848299697587e-05,0.00014954495606226767,1.4242376767835016e-05,0.0014005003821704433,0.000261110240743642,7.121188383917508e-06,7.833307222309259e-05,0.0006978764616239158,0.0,0.00010919155522006845,0.0015168131257744292,6.646442491656341e-05,0.0004106551968059096,0.009388100019464581,0.00017090852121402018,0.0006883815437786925,0.00013292884983312682,5.2222048148728395e-05,0.000564947611790789,2.373729461305836e-06,9.494917845223344e-06,0.0,5.459577761003423e-05,0.0,0.0,0.0,0.0,0.0,7.121188383917508e-06,2.373729461305836e-06,1.6616106229140852e-05
д,0.006276140695692631,5.9343236532645905e-05,0.0012319655904177288,2.6111024074364197e-05,0.00011631274360398597,0.005120134448036689,3.085848299697587e-05,5.9343236532645905e-05,0.0028104956821861098,0.0,0.00034656450135065207,0.00075247223923395,9.494917845223345e-05,0.002359487084538001,0.004389025773954491,0.00018040343905924354,0.0022859014712375203,0.0004367662208802738,0.0003774229843476279,0.0024639311808354577,0.0,4.5100859764810885e-05,0.0003014636415858412,8.782799006831593e-05,7.358561330048092e-05,2.373729461305836e-06,0.0,0.0005317153993325073,0.001288935097489069,1.8989835690446687e-05,1.6616106229140852e-05,0.0005127255636420606
е,0.00028722126481800617,0.002577870194978138,0.0037148866069436335,0.004415136798028855,0.004298824054424869,0.0025802439244394437,0.0011702486244237773,0.0022502955293179326,0.0015880250096136043,0.0025944863012072788,0.0021814573749400633,0.007009623099236134,0.005996040619258542,0.009682442472666506,0.001635499598839721,0.0039166536111546295,0.007598308005639981,0.007619671570791734,0.00797573098998761,0.0007809569927696201,5.6969507071340066e-05,0.0009779765380580044,0.00046999843333855553,0.0019915590180355964,0.0012675715323373165,0.0011037841995072137,0.0,0.0,0.0,0.0004794933511837789,0.000275352617511477,0.0005412103171777307
ж,0.0015524190676940168,5.459577761003423e-05,5.2222048148728395e-05,1.4242376767835016e-05,0.000868784982837936,0.0054073557128546945,9.494917845223344e-06,2.3737294613058362e-05,0.001535802961464876,0.0,0.00024212040505319527,3.560594191958754e-05,2.3737294613058362e-05,0.0009352494077544994,0.00010681782575876263,4.9848318687422556e-05,1.6616106229140852e-05,7.833307222309259e-05,4.9848318687422556e-05,0.000318079747814982,0.0,0.0,2.373729461305836e-06,2.8484753535670033e-05,0.0,0.0,0.0,0.0,5.6969507071340066e-05,4.2727130303505046e-05,0.0,3.7979671380893375e-05
з,0.0053883658771642475,0.00017565598013663186,0.0011987333779594472,0.0004106551968059096,0.0008996434658349119,0.0002492415934371128,6.171696599395174e-05,5.9343236532645905e-05,0.00044388740926419134,0.0,0.000246867863975807,0.0003062111005084528,0.00028010007643408864,0.002319133683695802,0.0006314120367073524,0.000159039873907491,0.00032520093619889954,0.00018040343905924354,9.020171952962177e-05,0.0007406035919274209,7.121188383917508e-06,4.747458922611672e-06,7.121188383917508e-06,5.2222048148728395e-05,1.4242376767835016e-05,0.0,5.2222048148728395e-05,0.0003204534772762879,0.00010444409629745679,2.6111024074364197e-05,4.747458922611672e-06,0.0005293416698712015
и,0.00035843314865718125,0.001706711482678896,0.005348012476322049,0.0010207036683615096,0.0031784237486885145,0.002430698968377176,0.00040116027896068627,0.0025541329003650796,0.001723327588908037,0.0011417638708881071,0.0038311993505476196,0.006086242338788164,0.003577210298187895,0.005910586358651532,0.0015880250096136043,0.002347618437231472,0.0015096919373905116,0.00442937917479669,0.006107605903939916,0.0006693917080882458,6.646442491656341e-05,0.0022787802828536027,0.0009803502675193104,0.002471052369219375,0.0008759061712218535,0.00015429241498487935,0.0,0.0,0.0,0.00023262548720797194,0.0003892916316541571,0.0016829741880658377
й,8.070680168439843e-05,0.00022075683990144276,0.0005554526939455656,0.00024212040505319527,0.0007216137562369742,0.00011393901414268013,9.020171952962177e-05,0.00015666614444618518,0.0005625738823294832,0.0,0.0005554526939455656,0.00034181704242804037,0.0003964128200380746,0.0009898451853645337,0.0003750492548863221,0.0007311086740821975,0.0003299483951215112,0.0012533291555694814,0.0008616637944540184,0.0001519186855235735,2.3737294613058362e-05,4.9848318687422556e-05,5.9343236532645905e-05,0.0005768162590973182,0.0002444941345145011,7.121188383917508e-06,0.0,0.0,0.0,0.00010207036683615095,1.1868647306529181e-05,9.020171952962177e-05
