, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.021742194381912498,0.002435157091122639,0.006369775863756484,0.015536850347460116,0.0026876774004110796,0.007278065968483899,0.0037447391602231576,0.002043652735636684,0.003977684251737301,0.010981697171381031,0.0,0.007473818146226877,0.0022198296956053637,0.0053048840168346875,0.014691200939610453,0.010543212293236763,0.014033473622394049,0.00441616912988157,0.01384359400998336,0.00831359498874425,0.004202799256141724,0.0003836742683762357,0.0014250758539688755,0.00023490261329157288,0.005723793677204659,0.0004991680532445924,5.0895566213174125e-05,1.957521777429774e-06,0.0,0.0,0.0026641871390819223,4.50230008808848e-05,0.0025819712244298716
а,0.015572085739453852,3.719291377116571e-05,0.0005500636194577665,0.002648526964862484,0.0006851326221004208,0.0017793872956836645,0.0011490652833512772,0.001609082901047274,0.0034139179798375256,0.00016051678574924145,0.00086522462562396,0.005590682196339434,0.007082313790740922,0.0034843887638249978,0.0032318684545365566,0.00011157874131349711,0.000935695409611432,0.0017480669472447882,0.004823333659586963,0.0043789762161104044,9.396104531662914e-05,4.50230008808848e-05,0.000935695409611432,4.893804443574435e-05,0.0009533131056082999,0.0008593520602916707,0.0002603503963981599,0.0,0.0,0.0,1.3702652442008418e-05,0.0008730547127336792,0.001959479299207204
б,0.0004130370950376823,0.000640109621219536,1.957521777429774e-06,4.50230008808848e-05,0.0,1.957521777429774e-05,0.0021356562591758835,5.872565332289321e-06,1.957521777429774e-06,0.0007458157972007438,0.0,0.00014094156797494372,0.0007203680140941568,4.698052265831457e-05,0.00024077517862386219,0.001922286385436038,0.0,0.001092297151805814,0.0002035822648526965,5.872565332289321e-06,0.0012508564157776255,0.0,4.698052265831457e-05,0.0,1.7617695996867965e-05,9.78760888714887e-06,0.0001428990897523735,0.00014877165508466283,0.003601840070470784,5.676813154546344e-05,1.1745130664578643e-05,7.830087109719096e-06,0.0006166193598903788
в,0.0051678574924146035,0.00553978663012626,2.5447783106587062e-05,5.872565332289322e-05,4.50230008808848e-05,0.0008436918860722326,0.005089556621317412,7.830087109719096e-06,0.0005069981403543114,0.0032259958892042672,3.915043554859548e-06,0.00011549378486835665,0.0004972105314671626,9.78760888714887e-05,0.0015366545952823726,0.006107467945580895,0.00042282470392483116,0.0004874229225800137,0.0035979250269159244,0.00026426543995301946,0.0006068317510032299,1.957521777429774e-06,7.438582754233141e-05,1.3702652442008418e-05,0.00019183713418811785,0.0005735538807869237,0.0,3.915043554859548e-06,0.0027033375746305177,0.00014681413330723303,1.957521777429774e-05,0.0,0.00016638935108153079
г,0.0009122051482822746,0.0009591856709405892,1.957521777429774e-06,1.957521777429774e-05,0.0,0.0010883821082509544,0.00018987961241068808,1.957521777429774e-06,3.915043554859548e-06,0.0005285308799060389,0.0,4.50230008808848e-05,0.001229323676225898,3.915043554859548e-05,0.00026818048350787905,0.007397474796907115,2.1532739551727512e-05,0.0005226583145737496,2.7405304884016836e-05,1.566017421943819e-05,0.00047567779191543506,1.957521777429774e-06,0.0,0.0,2.5447783106587062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.0007869237545267691,0.005128707056866007,3.523539199373593e-05,0.0009102476265048448,3.915043554859548e-06,3.915043554859548e-05,0.004269354996574337,2.1532739551727512e-05,1.566017421943819e-05,0.0022061270431633553,0.0,0.00024469022217872175,0.0005696388372320642,7.634334931976118e-05,0.0017793872956836645,0.0035979250269159244,8.808847998433983e-05,0.0018655182538905746,0.00027601057061759813,0.0002662229617304492,0.00190466868943917,0.0,4.50230008808848e-05,0.000285798179504747,5.2853087990603895e-05,6.851326221004209e-05,0.0,0.0,0.0004267397474796907,0.001092297151805814,0.0,1.3702652442008418e-05,0.00043065479103455024
е,0.016914945678770676,1.566017421943819e-05,0.0012978369384359402,0.001246941372222766,0.003351277282959773,0.0026720172261916414,0.0018459430361162767,0.0007986688851913477,0.001221493589116179,0.0001957521777429774,0.002084760692962709,0.0011705980229030047,0.00545169815014192,0.004222374473916022,0.006453949300185964,0.0003308211803856318,0.0014857590290691983,0.005753156503866106,0.0045062151316433395,0.005700303415875502,0.00019966722129783693,1.1745130664578643e-05,0.0005344034452383283,0.0003210335714984829,0.001186258197122443,0.0009689732798277381,0.0009493980620534404,0.0,0.0,0.0,1.566017421943819e-05,0.00021141235196241558,0.0002172849172947049
ж,0.0006714299696584125,0.0011980033277870217,2.936282666144661e-05,5.872565332289321e-06,1.957521777429774e-06,0.0006733874914358422,0.004435744347655868,9.78760888714887e-06,0.0,0.0012410688068904766,0.0,0.00011549378486835665,1.1745130664578643e-05,5.872565332289321e-06,0.000710580405207008,2.3490261329157286e-05,5.872565332289321e-06,9.78760888714887e-06,1.7617695996867965e-05,7.830087109719096e-06,0.00024469022217872175,0.0,0.0,0.0,7.830087109719096e-06,0.0,0.0,0.0,0.0,4.698052265831457e-05,1.957521777429774e-06,0.0,0.0
з,0.0010727219340315162,0.004443574434765587,0.00012332387197807576,0.0008847998433982578,0.0003386512674953509,0.0007379857100910247,0.00016443182930410102,5.0895566213174125e-05,4.1107957326025254e-05,0.0003660565723793677,0.0,0.00012136635020064598,0.000225115004404424,0.00016443182930410102,0.0017284917294704903,0.0004737202701380053,3.915043554859548e-05,0.0002309875697367133,3.523539199373593e-05,1.7617695996867965e-05,0.0005774689243417833,0.0,0.0,0.0,3.132034843887638e-05,5.872565332289321e-06,0.0,4.1107957326025254e-05,0.00022707252618185377,0.00011353626309092688,0.0,0.0,0.0004423999216991289
и,0.01586375648429089,7.830087109719095e-05,0.0006675149261035529,0.0025839287462073018,0.0005481060976803367,0.0017343642948027796,0.0016834687285896056,0.00021532739551727512,0.0016815112068121758,0.0005657237936772047,0.0009454830184985808,0.002276597827150827,0.004776353136928649,0.0025506508759909952,0.003235783498091416,0.0002995008319467554,0.0004345698345894098,0.0008691396691788196,0.0021082509542918663,0.004255652344132328,3.523539199373593e-05,2.1532739551727512e-05,0.0016423607712635804,0.0008378193207399432,0.0014818439855143388,0.000614661838112949,0.0001350690026426544,0.0,0.0,0.0,1.957521777429774e-05,0.0003014583537241852,0.0010609768033669374
й,0.0054575707154742095,3.915043554859548e-06,3.327787021630615e-05,3.719291377116571e-05,3.132034843887638e-05,0.00026818048350787905,0.0,9.78760888714887e-06,9.78760888714887e-06,1.957521777429774e-05,0.0,0.00015855926397181168,0.00022903004795928354,6.459821865518254e-05,0.00038758931193109524,2.5447783106587062e-05,6.068317510032299e-05,1.957521777429774e-05,0.0005128707056866007,0.0004795928354702946,1.566017421943819e-05,3.915043554859548e-06,3.915043554859548e-06,3.327787021630615e-05,0.00020553978663012627,0.00017813448174610943,1.957521777429774e-06,0.0,0.0,0.0,5.872565332289321e-06,0.0,3.915043554859548e-06
к,0.004406381520994421,0.006733874914358422,2.7405304884016836e-05,0.00025839287462073014,5.872565332289321e-06,1.1745130664578643e-05,0.0003621415288245082,9.78760888714887e-06,1.3702652442008418e-05,0.0019399040814329059,0.0,2.936282666144661e-05,0.0005226583145737496,2.936282666144661e-05,0.0006107467945580895,0.008507389644709797,3.132034843887638e-05,0.0015542722912792405,0.0002603503963981599,0.0006420671429969658,0.001176470588235294,0.0,4.1107957326025254e-05,7.830087109719096e-06,1.1745130664578643e-05,1.3702652442008418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
л,0.0065028873446217085,0.005310756582166977,3.132034843887638e-05,4.893804443574435e-05,0.00014485661152980326,3.327787021630615e-05,0.0035646471566996183,0.0003190760497210531,1.7617695996867965e-05,0.005394930018596457,0.0,0.00028188313594988744,4.3065479103455024e-05,1.566017421943819e-05,0.00028188313594988744,0.005359694626602721,0.0001350690026426544,5.676813154546344e-05,0.0014740138984046197,0.00016638935108153079,0.0014818439855143388,3.915043554859548e-06,0.0,0.0,0.0002544778310658706,0.0,0.0,0.0,0.0006087892727806597,0.004658901830282862,1.957521777429774e-06,0.0006812175785455613,0.0011568953704609963
м,0.006763237741019869,0.0028344915337183128,4.3065479103455024e-05,4.50230008808848e-05,9.591856709405893e-05,4.3065479103455024e-05,0.003922873641969267,5.872565332289321e-06,2.5447783106587062e-05,0.002578056180875012,0.0,9.00460017617696e-05,8.808847998433983e-05,3.132034843887638e-05,0.0015640599001663894,0.0036820984633454045,0.00011157874131349711,8.417343642948028e-05,0.0002016247430752667,0.00015464422041695214,0.0020886757365175686,2.1532739551727512e-05,3.915043554859548e-06,1.3702652442008418e-05,5.0895566213174125e-05,7.830087109719096e-06,0.0,0.0,0.0007830087109719096,6.459821865518254e-05,5.872565332289321e-06,7.830087109719096e-06,0.0003601840070470784
н,0.003999216991289028,0.009991191152001566,1.7617695996867965e-05,4.1107957326025254e-05,3.132034843887638e-05,0.00029754331016932566,0.009975530977782128,1.957521777429774e-06,2.5447783106587062e-05,0.007420965058236273,0.0,0.00023490261329157288,7.830087109719096e-06,9.78760888714887e-06,0.002450817265342077,0.00952530096897328,3.719291377116571e-05,7.047078398747186e-05,0.0002720955270627386,0.0003543114417147891,0.0027307428795145345,4.50230008808848e-05,7.830087109719096e-06,0.00016051678574924145,0.00018596456885582851,5.872565332289321e-06,9.78760888714887e-05,0.0,0.0024625623960066556,0.0012136635020064599,0.0,0.00022315748262699423,0.0017715572085739454
о,0.021675638641479887,1.1745130664578643e-05,0.0034471958500538317,0.007818341979054517,0.0040990506019379465,0.005040618576881668,0.0018244102965645492,0.0020886757365175686,0.0009141626700597044,0.0006733874914358422,0.002785553489282568,0.0016658510325927376,0.005698345894098072,0.005179602623079182,0.006632083781932074,0.00034648135460506996,0.0016638935108153079,0.005015170793775081,0.005794264461192131,0.006896349221885093,0.00012136635020064598,0.00016638935108153079,0.00046980522658314575,6.459821865518254e-05,0.0022961730449251247,0.0009846334540471763,0.00024469022217872175,0.0,0.0,0.0,1.7617695996867965e-05,0.0005872565332289321,0.0006166193598903788
п,3.132034843887638e-05,0.0007438582754233141,0.0,0.0,0.0,0.0,0.002805128707056866,0.0,0.0,0.0007634334931976119,0.0,5.872565332289322e-05,0.0006244494470000979,0.0,7.438582754233141e-05,0.00900460017617696,3.327787021630615e-05,0.006500929822844279,2.3490261329157286e-05,6.851326221004209e-05,0.0007497308407556034,0.0,0.0,7.830087109719096e-06,1.7617695996867965e-05,3.915043554859548e-06,0.0,0.0,0.00019183713418811785,0.0001428990897523735,0.0,0.0,0.0005559361847900558
р,0.0006812175785455613,0.007225212880493295,0.00010570617598120779,0.00037975922482137616,0.00014877165508466283,0.0003151610061661936,0.005095429186649701,0.00025839287462073014,5.2853087990603895e-05,0.005175687579524323,0.0,0.0001800920035235392,7.047078398747186e-05,0.00028775570128217675,0.0006342370558872467,0.0069863952236468635,0.00010570617598120779,2.3490261329157286e-05,0.00011745130664578644,0.0005892140550063619,0.002476265048448664,0.00027992561417245767,7.047078398747186e-05,2.1532739551727512e-05,7.242830576490163e-05,0.00020749730840755604,7.830087109719096e-06,0.0,0.0008064989723010668,0.0009024175393951258,0.0,0.00018400704707839874,0.0009748458451600274
с,0.0033375746305177646,0.0017147890770284819,0.00011157874131349711,0.001368307722423412,3.719291377116571e-05,0.00019770969952040716,0.00441421160810414,4.3065479103455024e-05,2.1532739551727512e-05,0.001376137809533131,0.0,0.003478516198492708,0.002591758833317021,0.001133405109131839,0.000986590975824606,0.0027248703141822452,0.001826367818341979,0.00016638935108153079,0.0006303220123323872,0.009370656748556328,0.0006733874914358422,0.0,0.00020553978663012627,4.893804443574435e-05,0.00035235391993735933,7.242830576490163e-05,0.0,9.78760888714887e-06,0.0002192424390721347,0.002967603014583537,1.957521777429774e-06,0.000225115004404424,0.0034158755016149554
т,0.005379269844377019,0.005598512283449153,3.523539199373593e-05,0.002035822648526965,1.7617695996867965e-05,8.808847998433983e-05,0.0057629441127532545,5.872565332289321e-06,1.566017421943819e-05,0.0032083781932073993,0.0,0.00034648135460506996,0.00019966722129783693,4.698052265831457e-05,0.0010981697171381032,0.014530684153861212,0.00012136635020064598,0.002924537535480082,0.0011314475873544093,0.00012528139375550553,0.0015953802486052657,0.0,1.957521777429774e-05,6.068317510032299e-05,0.00034060878927278065,1.1745130664578643e-05,2.1532739551727512e-05,1.1745130664578643e-05,0.0013565625917588333,0.006508759909953998,1.566017421943819e-05,8.417343642948028e-05,0.00037584418126651657
у,0.006324752862875599,3.327787021630615e-05,0.0007908387980816286,0.0006655574043261231,0.0014818439855143388,0.0020221199960849564,0.00018400704707839874,0.0016756386414798865,0.00025056278751101106,2.3490261329157286e-05,0.00020749730840755604,0.0006890476656552804,0.0014642262895174709,0.001618870509934423,0.0005676813154546344,4.3065479103455024e-05,0.0007242830576490164,0.000450230008808848,0.001055104238034648,0.001542527160614662,7.830087109719096e-06,7.830087109719096e-06,0.0003836742683762357,3.915043554859548e-06,0.0008123715376333561,0.0005618087501223451,0.0003210335714984829,0.0,0.0,0.0,7.830087109719096e-06,0.0007340706665361652,5.2853087990603895e-05
ф,1.566017421943819e-05,0.00019770969952040716,0.0,0.0,0.0,0.0,5.676813154546344e-05,0.0,0.0,0.00030341587550161497,0.0,3.915043554859548e-06,5.872565332289321e-06,5.872565332289321e-06,0.0,9.591856709405893e-05,0.0,8.417343642948028e-05,1.957521777429774e-06,9.78760888714887e-06,0.00010179113242634825,5.872565332289321e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.957521777429774e-05,0.00011157874131349711,0.0,0.0,0.0
