,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0003145195269151569,0.0012830022965859796,0.0051782969657767144,0.00111090670638712,0.0031713063242162234,0.002003430043142584,0.0021339853184658567,0.004571808368593148,0.0016841630516702174,0.001065805793093626,0.00768495825198355,0.008835031540967653,0.004843600714493416,0.005752740177199115,0.0013743909893122704,0.0028021909548931524,0.0025944893805152185,0.0074760698114663135,0.006352107577546866,0.0006302259199696162,0.0001008836218407107,0.00125926497379993,8.189376361187104e-05,0.0018610061064262867,0.0011334571630338673,0.0003026508655221321,0.0,0.0,0.0,0.0003465649126763238,0.001029012942775249,0.0026787568764056946
б,0.0007417913370640492,4.747464557209915e-06,8.426749589047599e-05,0.0,2.611105506465453e-05,0.002564817727032657,4.747464557209915e-06,1.4242393671629746e-05,0.0009922200924568723,0.0,0.00017565618861676685,0.000840301226626155,5.459584240791402e-05,0.0003299487867260891,0.002409338262784032,1.3055527532327266e-05,0.0013969414459590176,0.00025992368450724284,2.729792120395701e-05,0.0015868400282474141,0.0,5.6969574686518984e-05,1.1868661393024788e-06,4.866151171140163e-05,1.3055527532327266e-05,0.00019701977912421148,0.00015785319652722967,0.00444362682554848,6.409077152233386e-05,0.00010207048798001317,9.49492911441983e-06,0.0007726498566859136
в,0.006886197340232982,0.00021600963735305114,0.0004806807864175039,0.00027179234590026766,0.0013375981389938936,0.006149153467726143,4.866151171140163e-05,0.0007904528487754508,0.004042466070464243,3.5605984179074365e-06,0.0006480289120591534,0.0007251752111138146,0.00025517621995003293,0.0024805502311421807,0.00784281144851078,0.0011061592418299103,0.0008319931636510377,0.005126074855647406,0.0007631549275714938,0.0009067657304270938,1.0681795253722309e-05,0.00011393914937303797,3.3232251900469406e-05,0.0004023476212235403,0.0007845185180789385,4.747464557209915e-06,4.747464557209915e-06,0.0032282758989027422,0.0001839642515918842,0.0003204538576116693,4.747464557209915e-06,0.00026467114906445274
г,0.0012094165959492258,2.8484787343259492e-05,0.00014479766899490242,2.1363590507444617e-05,0.0013838859184266902,0.00023618636172119327,9.49492911441983e-06,6.409077152233386e-05,0.0006777005655417154,0.0,0.00011393914937303797,0.001539365382675315,7.595943291535864e-05,0.0004355798731240097,0.009229071099216075,0.00017802992089537183,0.0006824480300989253,0.00014242393671629744,4.747464557209915e-05,0.0005768169437010047,3.5605984179074365e-06,5.9343306965123936e-06,0.0,6.171703924372889e-05,1.1868661393024788e-06,0.0,0.0,0.0,0.0,9.49492911441983e-06,1.1868661393024788e-06,1.1868661393024787e-05
д,0.006206123042412661,6.646450380093881e-05,0.001177371210188059,2.2550456646747097e-05,9.969675570140822e-05,0.005111832461975776,2.8484787343259492e-05,6.0530173104426414e-05,0.002846105002047344,0.0,0.0003465649126763238,0.0007180540142779997,0.00010800481867652557,0.0023298182314507657,0.004396152179976381,0.00018040365317397678,0.0022621668615105247,0.0004201506133130775,0.0003572467079300461,0.00237966660930147,2.3737322786049575e-06,5.6969574686518984e-05,0.0003204538576116693,9.49492911441983e-05,8.545436202977847e-05,2.3737322786049575e-06,0.0,0.0005115393060393683,0.0012770679658894672,1.898985822883966e-05,1.3055527532327266e-05,0.0005245948335716956
е,0.0002848478734325949,0.002611105506465453,0.003741002071081413,0.004368854258772425,0.0043486775344042826,0.002516156215321255,0.0011833055408845712,0.0022324952080279626,0.0016271934769836985,0.002543454136525212,0.0022051972868240054,0.007066600993406958,0.006074380900950086,0.009611241996071473,0.0017007791776204521,0.0038929209369121306,0.007638670472550753,0.007505741464948876,0.007936573873515675,0.0008070689747256856,6.0530173104426414e-05,0.0009411848484668656,0.0004237112117309849,0.0020556521532718933,0.0013008052886755168,0.0011393914937303795,0.0,0.0,0.0,0.00046287779432796673,0.0002824741411539899,0.000528155431989603
ж,0.0014669665481778637,6.527763766163634e-05,5.934330696512394e-05,1.0681795253722309e-05,0.0008711597462480194,0.005299357311985568,1.5429259810932223e-05,1.6616125950234703e-05,0.0015832794298295068,0.0,0.00021482277121374866,3.3232251900469406e-05,2.2550456646747097e-05,0.0009554272421384954,0.00010681795253722309,5.934330696512394e-05,1.898985822883966e-05,6.646450380093881e-05,5.459584240791402e-05,0.00032757505444748415,0.0,1.1868661393024788e-06,1.1868661393024788e-06,2.611105506465453e-05,0.0,0.0,0.0,0.0,5.934330696512394e-05,4.628777943279667e-05,0.0,2.967165348256197e-05
з,0.005400240933826278,0.00016497439336304455,0.001184492407023874,0.000446261668377732,0.0009269424547952359,0.00023856009399979823,6.646450380093881e-05,6.171703924372889e-05,0.0004616909281886642,0.0,0.0002456812908356131,0.0003026508655221321,0.000309772062357947,0.002263353727649827,0.0006622713057307831,0.0001792167870346743,0.000309772062357947,0.00014835826741280985,0.00012343407848745778,0.0007726498566859136,3.5605984179074365e-06,8.308062975117352e-06,9.49492911441983e-06,6.527763766163634e-05,1.5429259810932223e-05,3.5605984179074365e-06,4.628777943279667e-05,0.000309772062357947,0.00012462094462676026,2.611105506465453e-05,2.3737322786049575e-06,0.0005162867705965782
и,0.0003335093851439965,0.00167110752413789,0.005136756650901128,0.0009957806908747796,0.003130952875479939,0.0024461311131024088,0.00046287779432796673,0.0025422672703859094,0.0017613093507248786,0.0011370177614517746,0.0038454462913400313,0.006090997026900321,0.0036104467957581406,0.0057622351063135345,0.001678228720973705,0.0023808534754407723,0.0015654764377399696,0.004505343864792209,0.006164582727537075,0.0006302259199696162,6.883823607954377e-05,0.0022301214757493577,0.0010218917459394342,0.0024568129083561313,0.0008201245022580128,0.00015904006266653214,0.0,0.0,0.0,0.0002444944246963106,0.0003667416370444659,0.0016355015399588156
й,9.732302342280326e-05,0.0002397469601391007,0.0005744432114223998,0.00024093382627840318,0.0007299226756710245,9.850988956210574e-05,0.00010800481867652557,0.00015785319652722967,0.0006159835262979865,0.0,0.0005388372272433254,0.0003477517788156263,0.0003869183614126081,0.0009862857617603598,0.0003750497000195833,0.0007465388016212591,0.0003524992433728362,0.001256891241521325,0.0008236851006759203,0.0001626006610844396,2.967165348256197e-05,6.646450380093881e-05,5.934330696512394e-05,0.0005637614161686774,0.00027535294431817506,3.5605984179074365e-06,0.0,0.0,0.0,9.020182658698839e-05,8.308062975117352e-06,7.714629905466112e-05
