, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.021598337670879583,0.0023950302388472534,0.006260160771420937,0.015523162888482812,0.0026573384137598254,0.007374970514799369,0.0038778544365806367,0.002087699018987001,0.004001178429263413,0.011036518583261802,9.787618466887019e-07,0.007416078512360294,0.0022012353932028906,0.00524714226009813,0.014688279033257349,0.010459049093715467,0.014049147547369627,0.004336893742677638,0.014142129922805053,0.00816483132507715,0.004187143180134267,0.0003582268358880649,0.001411374582925108,0.0002505630327523077,0.005733586897902415,0.0005021048273513041,5.774694895463341e-05,9.787618466887019e-07,0.0,0.0,0.002731724314108167,4.110799756092548e-05,0.002546738325084002
а,0.015678786022106313,4.012923571423677e-05,0.0005383190156787861,0.0026837649836204203,0.0006714306268284495,0.0018596475087085335,0.0011931106911135276,0.0016129995233429807,0.0033796646566160876,0.00017030456132383412,0.0008789281383264543,0.005537834528564675,0.007045127772465276,0.003413921321250192,0.0032015300005187436,9.98337083622476e-05,0.0008945883278734735,0.0017421960871058892,0.00474210114720676,0.004341787551911082,9.102485174204927e-05,5.4810663414567305e-05,0.0009151423266539362,4.502304494768029e-05,0.000938632610974465,0.0008867582330999639,0.00023783912874535454,0.0,0.0,0.0,1.9575236933774038e-05,0.000846628997385727,0.0019281608379767426
б,0.0004052074045291226,0.0006078111067936839,9.787618466887019e-07,4.893809233443509e-05,0.0,1.9575236933774038e-05,0.0021033592085340203,3.9150473867548075e-06,1.9575236933774038e-06,0.000787903286584405,0.0,0.00013409037299635216,0.0006929633874556009,4.4044283100991584e-05,0.00025447808013906247,0.0019125006484297235,0.0,0.0011490664080125359,0.00019673113118442908,3.9150473867548075e-06,0.0012684753533085576,0.0,4.6001806794368986e-05,9.787618466887019e-07,2.055399878046274e-05,1.076638031357572e-05,0.00016247446655032451,0.00013017532560959734,0.0036644843540024996,5.28531397211899e-05,8.808856620198316e-06,7.830094773509615e-06,0.0006029172975602404
в,0.005124797029262043,0.005615156714453082,2.055399878046274e-05,5.4810663414567305e-05,3.719295017417067e-05,0.0008485865210791045,0.004936874754697812,6.851332926820913e-06,0.0005402765393721634,0.0031339954330972235,2.9362855400661056e-06,0.00013311161114966345,0.0005197225405917007,0.00010962132682913461,0.0015621039073151681,0.00615249696828518,0.000436527783623161,0.0005236375879784555,0.0036390365459885933,0.00023979665243873197,0.0005980234883267968,9.787618466887019e-07,6.361952003476562e-05,1.663895139370793e-05,0.00019673113118442908,0.0006205350108006369,1.9575236933774038e-06,3.9150473867548075e-06,0.002662232222993269,0.0001517080862367488,1.566018954701923e-05,9.787618466887019e-07,0.00018498598902416465
г,0.0009366750872810877,0.0009846344177688341,2.9362855400661056e-06,1.566018954701923e-05,9.787618466887019e-07,0.0010991495538314122,0.00017813465609734373,4.893809233443509e-06,5.872571080132211e-06,0.0005050411128913702,0.0,5.0895616027812494e-05,0.0012596664966883593,3.817171202085937e-05,0.00027894712630628003,0.0075022095548689,1.663895139370793e-05,0.0005197225405917007,2.9362855400661055e-05,1.1745142160264423e-05,0.00045023044947680287,9.787618466887019e-07,0.0,0.0,3.621418832748197e-05,9.787618466887019e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.0007810519536575841,0.005102285506788202,3.034161724734976e-05,0.0008975246134135396,8.808856620198316e-06,4.208675940761418e-05,0.0041930157512143984,1.9575236933774038e-05,1.566018954701923e-05,0.0022942177686383174,0.0,0.00022120017735164662,0.0005706181566195132,7.634342404171874e-05,0.0018009217979072115,0.003588140929960781,8.808856620198317e-05,0.001841051033621448,0.00027405331707283653,0.00027405331707283653,0.0019487148367572055,0.0,4.502304494768029e-05,0.0002632869367592608,5.4810663414567305e-05,6.655580557483172e-05,1.9575236933774038e-06,0.0,0.0004218463559228305,0.0010531477470370433,9.787618466887019e-07,1.076638031357572e-05,0.0004238038796162079
е,0.017217399645100953,1.8596475087085337e-05,0.001379075441984381,0.0012214947846674999,0.0032925548522607932,0.0027454269799618088,0.001743174848952578,0.0007937758576645372,0.0012371549742145192,0.0001693257994771454,0.0020974866374538883,0.001198004500346971,0.00551140795870408,0.004229229939541881,0.006509745042326556,0.00033571531341422474,0.0014505250567926561,0.005813845369330889,0.0044797929722941885,0.00569247890034149,0.00019085856010429687,1.2723904006953124e-05,0.0005383190156787861,0.00032984274233409253,0.0011999620240403484,0.0010169335587095613,0.000935696325434399,0.0,0.0,0.0,1.4681427700330527e-05,0.00022805151027846754,0.00021728512996489183
ж,0.0006567491991281189,0.0012038770714271033,2.4469046167217546e-05,5.872571080132211e-06,4.893809233443509e-06,0.0006988359585357332,0.004359405265151478,1.076638031357572e-05,0.0,0.0012449850689880287,0.0,0.0001066850412890685,1.7617713240396632e-05,4.893809233443509e-06,0.0007037297677691766,2.153276062715144e-05,4.893809233443509e-06,5.872571080132211e-06,1.2723904006953124e-05,3.9150473867548075e-06,0.0002603506512191947,0.0,0.0,9.787618466887019e-07,5.872571080132211e-06,0.0,0.0,0.0,0.0,4.893809233443509e-05,2.9362855400661056e-06,0.0,0.0
з,0.0010776167932042607,0.00444064249842664,0.00011843018344933293,0.0008652254724728125,0.00034158788449435696,0.0006880695782221574,0.00017421960871058894,4.795933048774639e-05,3.425666463410457e-05,0.0003484392174211779,0.0,0.00011745142160264422,0.00023294531951191104,0.00019183732195098555,0.001762750085886352,0.0004913384470377284,3.034161724734976e-05,0.00023392408135859975,2.7405331707283653e-05,1.7617713240396632e-05,0.0006087898686403725,0.0,0.0,0.0,2.153276062715144e-05,8.808856620198316e-06,0.0,3.817171202085937e-05,0.0002554568419857512,0.0001027699939023137,9.787618466887019e-07,1.9575236933774038e-06,0.0004189100703827644
и,0.015844196774196705,7.927970958178485e-05,0.0007017722440757992,0.0025486958487773797,0.0005539792052258052,0.001762750085886352,0.0016668314249108592,0.00022120017735164662,0.0016521499972105287,0.0005774694895463341,0.0009376538491277763,0.0023764337637601682,0.004826274666021989,0.002507587851216454,0.003126165338323714,0.0003063524580135637,0.00041793130853607567,0.0008573953776993029,0.002055399878046274,0.004238038796162079,4.306552125430288e-05,1.9575236933774038e-05,0.0016717252341443027,0.0008094360472115565,0.0015239321952943087,0.0006234712963407031,0.00012821780191621995,0.0,0.0,0.0,1.2723904006953124e-05,0.00029852236324005404,0.0010952345064446573
