Перший символ;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ы;ь;э;ю;я
а;0.000427;0.00124;0.005466;0.001236;0.002898;0.001865;0.002046;0.004044;0.001707;0.000955;0.007774;0.009223;0.004925;0.005761;0.001159;0.002624;0.002787;0.006171;0.005995;0.000517;0.000219;0.001188;6.3e-05;0.001486;0.001332;0.000262;0.0;0.0;0.000363;0.001055;0.00225
б;0.000724;7e-06;0.00018;1e-06;3.8e-05;0.002597;6e-06;1.3e-05;0.001335;0.0;8.9e-05;0.00096;4.2e-05;0.000402;0.002765;1.5e-05;0.001273;0.000243;2.7e-05;0.00135;0.0;4.8e-05;4e-06;4.4e-05;1.8e-05;0.000204;0.004614;0.000253;0.000104;1e-06;0.00079
в;0.006462;0.000214;0.000375;0.000312;0.001454;0.006407;5.2e-05;0.000595;0.004364;0.0;0.000631;0.001018;0.000429;0.001852;0.008423;0.000979;0.000828;0.005301;0.000872;0.000809;1.1e-05;9.3e-05;4.9e-05;0.00029;0.000877;2.7e-05;0.002921;0.000291;0.000295;3e-06;0.000329
г;0.001136;4.9e-05;0.000152;3.1e-05;0.001595;0.000307;7e-06;7e-05;0.000863;0.0;0.000138;0.001413;6.6e-05;0.000437;0.010618;0.0002;0.001215;0.00021;6.3e-05;0.000688;1e-06;8e-06;0.0;4.4e-05;1.4e-05;0.0;0.0;0.0;1.3e-05;1e-06;2e-05
д;0.006303;4.9e-05;0.000858;4.4e-05;5.8e-05;0.005116;1.8e-05;5.3e-05;0.002915;0.0;0.000316;0.000841;0.000349;0.002201;0.004835;0.000193;0.00197;0.00066;0.000283;0.00207;0.0;6e-05;0.000375;0.000124;5.9e-05;0.0;0.000515;0.000962;1.8e-05;1e-05;0.000579
е;0.000345;0.002708;0.003552;0.005015;0.005033;0.002107;0.001356;0.002357;0.001737;0.002578;0.002327;0.006543;0.006214;0.010244;0.00168;0.003892;0.007014;0.007523;0.007522;0.000877;8.7e-05;0.001036;0.000686;0.001983;0.002132;0.001045;0.0;0.0;0.000399;0.000311;0.000605
ж;0.001374;3.4e-05;3.8e-05;1.8e-05;0.000889;0.005206;7e-06;2.2e-05;0.001626;0.0;0.000167;2.7e-05;1.7e-05;0.000955;7.3e-05;2.7e-05;3e-06;3.9e-05;7.7e-05;0.000401;0.0;3e-06;1e-06;1.3e-05;0.0;0.0;0.0;4.9e-05;1.3e-05;1e-06;3.4e-05
з;0.005327;0.000229;0.0011;0.000346;0.000937;0.000385;8.9e-05;8.9e-05;0.000465;0.0;0.000214;0.000366;0.000394;0.00241;0.000915;0.000201;0.000308;0.00021;0.00011;0.000342;3e-06;1e-05;1.3e-05;5.2e-05;1.8e-05;0.0;0.000388;0.000181;1.7e-05;3e-06;0.000305
и;0.00045;0.001747;0.005296;0.001074;0.002953;0.002684;0.000519;0.00288;0.001793;0.00138;0.003624;0.006491;0.004058;0.005341;0.001484;0.002334;0.001271;0.004695;0.007599;0.000782;0.000117;0.002015;0.000779;0.002697;0.00115;0.000145;0.0;0.0;0.000256;0.000336;0.001574
й;0.000195;0.000246;0.000624;0.00024;0.000713;0.000122;0.000135;0.000181;0.000626;0.0;0.000526;0.00011;0.000478;0.000946;0.000353;0.000747;0.000298;0.001178;0.000831;0.000167;0.000231;7e-05;7.2e-05;0.000568;0.000256;1e-06;0.0;0.0;8e-05;1e-05;8.2e-05
к;0.008167;0.000565;0.000735;0.000114;0.000231;0.000667;0.000118;0.000105;0.003265;0.0;0.000266;0.000849;0.000229;0.001284;0.009229;0.00037;0.001908;0.000863;0.001143;0.001863;2.2e-05;4.9e-05;2.5e-05;0.000208;2.4e-05;0.0;0.0;1e-06;0.000138;1e-06;0.000125
л;0.005754;0.000326;0.000825;0.000357;0.000325;0.005654;0.00037;0.000156;0.007647;0.0;0.000674;0.000146;0.000335;0.000989;0.006899;0.000593;0.000115;0.002315;0.000468;0.001782;4.5e-05;4.1e-05;3e-06;0.000613;2.7e-05;0.0;0.000658;0.004416;0.000122;0.001595;0.001756
м;0.003004;0.000329;0.00089;0.000339;0.000503;0.005116;0.000145;0.000204;0.004603;0.0;0.000487;0.000384;0.000395;0.002789;0.005328;0.001003;0.000229;0.00129;0.000499;0.003468;5.5e-05;8.4e-05;2e-05;0.000481;4.8e-05;3.1e-05;0.00114;8.2e-05;0.000134;3e-06;0.000506
н;0.011049;0.000264;0.000647;0.000143;0.000371;0.012528;4.4e-05;0.000153;0.007902;0.0;0.000454;5.8e-05;0.000217;0.003289;0.011748;0.000425;0.000169;0.000745;0.000617;0.002995;0.000202;3.7e-05;0.000215;0.000368;4.5e-05;0.000112;0.002864;0.001616;6e-05;0.000221;0.001898
о;0.00036;0.005503;0.012184;0.006293;0.006505;0.003375;0.002872;0.001986;0.002922;0.003329;0.003385;0.00647;0.007177;0.009201;0.002189;0.004084;0.007059;0.009686;0.010087;0.00114;0.000183;0.000629;0.000152;0.003739;0.000987;0.000204;0.0;0.0;0.000534;0.000865;0.001245
п;0.001609;3e-06;3e-06;0.0;1e-06;0.002551;0.0;1e-06;0.001014;0.0;7.2e-05;0.00071;0.0;0.000163;0.010351;4.8e-05;0.008408;3.7e-05;7e-05;0.000727;0.0;0.0;1.8e-05;2.8e-05;1.8e-05;7e-06;0.000218;0.000111;0.0;0.0;0.000515
р;0.007665;0.000105;0.000557;0.000235;0.000934;0.006252;0.000325;9.3e-05;0.00636;0.0;0.000262;4.5e-05;0.000215;0.000735;0.008207;0.000304;2.5e-05;0.000238;0.000617;0.00317;0.000134;0.000128;0.000163;9.3e-05;0.000242;1.3e-05;0.000998;0.00107;1.8e-05;0.000266;0.001081
с;0.002409;0.000181;0.002144;0.000129;0.000385;0.005771;0.000226;0.000115;0.001835;0.0;0.00371;0.003487;0.00169;0.001461;0.003247;0.00235;0.000208;0.001221;0.012036;0.001093;3e-05;0.000246;7.3e-05;0.00047;0.000129;0.0;0.000346;0.002922;6.9e-05;0.000337;0.004548
т;0.006757;0.000472;0.003475;0.000173;0.000505;0.007096;0.000112;0.000169;0.005079;0.0;0.000865;0.000364;0.000326;0.001787;0.017928;0.000669;0.003374;0.001908;0.000551;0.001993;2.4e-05;7.5e-05;0.000356;0.00062;1.4e-05;8e-06;0.002069;0.007373;0.000148;0.000184;0.001132
у;0.000219;0.001332;0.00155;0.001901;0.002542;0.000375;0.002081;0.000454;0.000754;0.000156;0.001093;0.001365;0.001732;0.001333;0.000439;0.001651;0.000667;0.001917;0.00223;0.00015;4.4e-05;0.000449;1.7e-05;0.001543;0.001117;0.000325;0.0;0.0;0.000134;0.000979;0.000193
ф;0.000183;1e-06;4e-06;0.0;3e-06;0.001057;0.0;1e-06;0.00016;0.0;0.0;2.2e-05;3e-06;1e-06;0.000121;0.0;7.2e-05;1.3e-05;3e-06;5.6e-05;2.2e-05;0.0;0.0;0.0;0.0;0.0;8e-06;2.5e-05;0.0;0.0;8e-06
х;0.00055;0.000135;0.00052;6.5e-05;0.000207;0.000155;4.4e-05;8e-05;0.00048;0.0;0.000166;0.000311;0.000212;0.000425;0.002668;0.000329;0.000239;0.000442;0.000236;0.0002;1.1e-05;2.8e-05;1e-05;7.9e-05;3e-05;1e-06;0.0;0.0;4.5e-05;3e-06;3.5e-05
ц;0.000903;2.1e-05;0.000108;1.3e-05;2.8e-05;0.001022;4e-06;3.5e-05;0.000249;0.0;4.1e-05;6e-06;2.1e-05;5.8e-05;0.000308;0.000111;1.4e-05;4.6e-05;3.1e-05;0.000236;2.1e-05;6e-06;0.0;2.7e-05;3e-06;0.0;0.000121;6e-06;8e-06;3e-06;6e-06
ч;0.002843;2.4e-05;0.000138;2e-05;4.1e-05;0.004319;3e-06;1.5e-05;0.002271;0.0;0.000567;3e-05;3.8e-05;0.000886;0.000141;9.7e-05;0.00017;7.6e-05;0.005086;0.000858;1e-06;1.1e-05;0.0;2.8e-05;0.000141;0.0;0.0;0.000291;1.3e-05;0.0;3.4e-05
ш;0.00159;1.1e-05;2.4e-05;6e-06;7e-06;0.002578;0.0;1e-06;0.001897;0.0;0.000561;0.000412;2.2e-05;0.000567;0.000218;3.1e-05;6e-06;1e-05;0.000125;0.000411;1e-06;3e-06;0.0;6e-06;1e-06;0.0;0.0;0.001057;0.0;4e-06;0.0
щ;0.00042;0.0;1e-06;0.0;0.0;0.001522;1e-06;0.0;0.000689;0.0;0.0;0.0;0.0;3.1e-05;0.0;3e-06;1e-06;0.0;0.0;0.000122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7e-05;0.0;0.0;0.0
ы;7.9e-05;0.000394;0.001415;0.000222;0.000465;0.00102;7e-05;0.000256;0.000498;0.001624;0.000337;0.002136;0.001496;0.000834;0.000255;0.000567;0.000446;0.001409;0.001194;0.000136;1.3e-05;0.000894;1.7e-05;0.000323;0.000446;1.8e-05;0.0;0.0;0.000114;1e-06;5.8e-05
ь;0.000366;0.000494;0.00142;0.000453;0.000536;0.001018;8.9e-05;0.000463;0.001257;0.0;0.002497;0.000295;0.000855;0.002872;0.000866;0.001118;0.000226;0.002126;0.001052;0.000336;3.7e-05;0.000145;8.4e-05;0.00074;0.000435;2.5e-05;0.0;0.0;0.000267;0.000346;0.000697
э;0.0;0.0;6e-06;1e-05;3e-06;0.0;0.0;1e-06;0.0;6e-06;3.9e-05;1.1e-05;2.5e-05;7e-06;0.0;2.7e-05;0.0;8e-06;0.003466;0.0;1.5e-05;2e-05;0.0;1.1e-05;6e-06;0.0;0.0;0.0;3e-06;0.0;0.0
ю;0.000134;0.000863;0.000368;0.000101;0.000537;8.7e-05;0.000165;0.000112;0.000339;0.0;0.000257;8.9e-05;0.000246;0.000432;0.000218;0.000381;0.000177;0.000622;0.000651;0.000103;4.6e-05;3.4e-05;2.8e-05;0.000332;0.000204;0.000252;0.0;0.0;5.8e-05;4.5e-05;7.2e-05
я;0.0003;0.000544;0.001945;0.000316;0.000984;0.000453;0.000277;0.000606;0.001201;3.9e-05;0.001185;0.001018;0.000834;0.001877;0.000754;0.001124;0.000253;0.00189;0.00261;0.000392;7.3e-05;0.000277;0.000103;0.000787;5.2e-05;0.000219;0.0;0.0;0.000179;0.000132;0.000263
