Перший символ;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ы;ь;э;ю;я
а;0.000399;0.001259;0.005464;0.001249;0.002928;0.001867;0.002012;0.004029;0.001705;0.000932;0.007767;0.009271;0.004999;0.005732;0.001146;0.002641;0.002758;0.00612;0.006028;0.000532;0.000224;0.001158;6.7e-05;0.001501;0.001318;0.000254;0.0;0.0;0.000387;0.001075;0.002248
б;0.000725;6e-06;0.000184;3e-06;3.5e-05;0.002586;3e-06;1.3e-05;0.001313;0.0;9.6e-05;0.000976;5.1e-05;0.000392;0.002775;1.8e-05;0.001304;0.000229;3e-05;0.001333;0.0;5.1e-05;6e-06;4.9e-05;1.5e-05;0.000207;0.004553;0.00024;9e-05;1e-06;0.000835
в;0.006397;0.000215;0.000379;0.000302;0.001464;0.006322;6.7e-05;0.000588;0.004385;0.0;0.000608;0.00101;0.000434;0.001907;0.008496;0.000978;0.000788;0.005366;0.000888;0.000788;1.3e-05;9.6e-05;6e-05;0.000314;0.000859;2.5e-05;0.002915;0.000286;0.000299;6e-06;0.000326
г;0.001106;5.4e-05;0.000162;3.1e-05;0.001583;0.000321;6e-06;7.9e-05;0.000835;0.0;0.00016;0.001383;7.7e-05;0.000428;0.010654;0.000198;0.001181;0.000184;6.9e-05;0.000668;5e-06;7e-06;0.0;5.4e-05;1.1e-05;0.0;0.0;0.0;1.1e-05;1e-06;1.8e-05
д;0.006276;5.3e-05;0.000873;4.5e-05;6.2e-05;0.005138;1.8e-05;5.3e-05;0.002886;0.0;0.000321;0.000821;0.000339;0.002183;0.004835;0.000179;0.001945;0.000647;0.000272;0.002067;1e-06;5.6e-05;0.000392;0.000134;7.2e-05;0.0;0.000497;0.00097;1.8e-05;7e-06;0.000598
е;0.000367;0.002683;0.003632;0.005052;0.005163;0.002107;0.00131;0.002351;0.001743;0.002532;0.002318;0.006531;0.006336;0.010202;0.001649;0.003847;0.00712;0.007619;0.007459;0.000878;7.3e-05;0.001022;0.000722;0.001959;0.002126;0.001017;0.0;0.0;0.000413;0.000336;0.000592
ж;0.001385;3.3e-05;4.1e-05;2.1e-05;0.000937;0.005261;8e-06;1.8e-05;0.001574;0.0;0.000162;2.9e-05;1.8e-05;0.000896;8.3e-05;3.4e-05;9e-06;3.6e-05;8.4e-05;0.000402;1e-06;2e-06;1e-06;1.7e-05;0.0;0.0;0.0;4.8e-05;1.2e-05;1e-06;3.4e-05
з;0.005295;0.000226;0.001143;0.000362;0.000923;0.00037;9e-05;9.3e-05;0.000486;0.0;0.000205;0.000361;0.000391;0.002402;0.000908;0.000193;0.000322;0.000188;0.000114;0.000328;3e-06;1e-05;1e-05;5.3e-05;1.6e-05;0.0;0.000378;0.000156;1.8e-05;2e-06;0.000326
и;0.000439;0.00176;0.005369;0.001088;0.00286;0.002689;0.000527;0.002899;0.001797;0.00141;0.003583;0.006445;0.00415;0.005484;0.001498;0.002376;0.001217;0.00466;0.007586;0.000733;0.00012;0.002049;0.000773;0.002774;0.001127;0.000147;0.0;0.0;0.000264;0.000361;0.001503
й;0.000185;0.000247;0.000624;0.000235;0.000677;0.000128;0.00014;0.000172;0.000655;0.0;0.000498;0.000124;0.000487;0.000921;0.000378;0.000764;0.000291;0.001205;0.000806;0.000175;0.00024;6.5e-05;7.4e-05;0.000563;0.000254;4e-06;0.0;0.0;8.4e-05;1.3e-05;6.9e-05
