Перший символ; ;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ы;ь;э;ю;я
 ;0.0;0.003332;0.006877;0.016888;0.00366;0.007402;0.00435;0.002382;0.004541;0.012464;0.0;0.007899;0.002648;0.007298;0.016057;0.010634;0.015486;0.003474;0.016159;0.010841;0.004789;0.000997;0.001504;0.000318;0.005936;0.000508;5.9e-05;0.0;0.0;0.002968;8.4e-05;0.002722
а;0.016133;9e-06;0.00052;0.002842;0.000672;0.001774;0.001072;0.001553;0.002938;0.000169;0.000749;0.005571;0.007319;0.003376;0.003195;7e-06;0.000769;0.002048;0.003596;0.003953;4.3e-05;0.000101;0.000831;2.3e-05;0.000811;0.001026;0.00019;0.0;0.0;0.0;0.000883;0.00144
б;0.000414;0.000575;2e-06;0.000134;1e-06;2e-05;0.002105;0.0;0.0;0.001031;0.0;8.4e-05;0.000804;4.3e-05;0.000325;0.002199;0.0;0.001084;0.000183;8e-06;0.00108;0.0;4.7e-05;1e-06;3e-05;1.4e-05;0.000171;0.003726;0.000179;0.0;2e-06;0.000652
в;0.005629;0.005225;1.5e-05;5e-05;1e-05;0.00091;0.005013;0.0;0.000376;0.003401;0.0;0.000147;0.000731;0.000118;0.001203;0.006729;0.000323;0.000503;0.003757;0.000227;0.000513;0.0;4.4e-05;1.7e-05;0.000108;0.000645;1.3e-05;0.002372;0.000237;0.0;0.0;0.000227
г;0.001296;0.000888;2e-06;5e-06;0.0;0.00131;0.000245;0.0;1e-06;0.000586;0.0;6.3e-05;0.001139;9e-06;0.000239;0.00874;0.0;0.000928;1.2e-05;2e-06;0.000489;0.0;0.0;0.0;2.6e-05;6e-06;0.0;0.0;0.0;0.0;1e-06;0.0
д;0.000955;0.005104;2e-05;0.000608;9e-06;1.4e-05;0.004259;1.5e-05;1.2e-05;0.002357;0.0;0.000216;0.000664;0.000248;0.001635;0.003939;7.8e-05;0.001615;0.000413;0.000168;0.001707;0.0;3.1e-05;0.000353;8.4e-05;6.3e-05;0.0;0.000414;0.000841;0.0;6e-06;0.000491
е;0.019551;3.6e-05;0.001472;0.001065;0.003765;0.003332;0.001382;0.000793;0.001261;0.000102;0.002171;0.001199;0.005007;0.004355;0.006843;0.0002;0.001129;0.005465;0.004286;0.005025;0.000128;1.3e-05;0.000591;0.000557;0.001111;0.001692;0.000768;0.0;0.0;0.0;0.000257;0.000265
ж;0.000457;0.001182;1e-05;0.0;9e-06;0.000767;0.004226;6e-06;0.0;0.001267;0.0;8.1e-05;1.5e-05;2e-06;0.000686;3.5e-05;0.0;0.0;5e-06;2.2e-05;0.00032;0.0;0.0;0.0;8e-06;0.0;0.0;0.0;4.2e-05;0.0;0.0;0.0
з;0.001298;0.004402;0.00014;0.000873;0.000257;0.000674;0.000318;7e-05;1.2e-05;0.000357;0.0;8.5e-05;0.000278;0.00023;0.001903;0.000642;2e-06;0.000245;6e-06;1.2e-05;0.000223;0.0;0.0;2e-06;1.3e-05;7e-06;0.0;0.000306;0.000116;0.0;0.0;0.000261
и;0.018366;9.7e-05;0.00067;0.002437;0.000582;0.001481;0.00177;0.000263;0.00181;0.000458;0.00117;0.002128;0.005034;0.002761;0.00265;0.000137;0.000173;0.000607;0.002114;0.005171;5.4e-05;4e-05;0.001464;0.0006;0.001735;0.000896;0.000116;0.0;0.0;0.0;0.000285;0.00098
й;0.006458;0.0;0.0;0.0;0.0;0.000257;0.0;0.0;0.0;0.0;0.0;7.4e-05;8e-06;4.8e-05;0.000327;2e-06;0.0;0.0;0.000357;0.000349;0.0;1e-06;0.0;4.4e-05;0.000208;0.00018;0.0;0.0;0.0;0.0;0.0;0.0
к;0.005067;0.006812;0.0;0.000171;0.0;1.4e-05;0.000501;0.0;2e-06;0.002314;0.0;6e-06;0.000554;1e-06;0.000494;0.007434;0.0;0.001488;0.000273;0.000522;0.001407;0.0;0.0;9e-06;0.0;6e-06;0.0;0.0;1e-06;0.0;0.0;0.0
л;0.007107;0.00458;3.3e-05;2.9e-05;0.000173;2.6e-05;0.004365;0.00027;8e-06;0.005616;0.0;0.000211;8e-05;9e-06;0.000252;0.004856;2.6e-05;1e-06;0.001387;5.7e-05;0.001304;6e-06;1e-06;0.0;0.00019;1e-06;0.0;0.000574;0.003778;0.0;0.001325;0.001302
м;0.007809;0.002313;1.4e-05;0.0;5.7e-05;0.0;0.004037;0.0;1e-06;0.003205;0.0;4.7e-05;0.000199;3.3e-05;0.001586;0.003968;6.3e-05;8.1e-05;0.000142;6e-06;0.002535;2e-06;0.0;5e-06;2.8e-05;7e-06;2.4e-05;0.000917;6.2e-05;0.0;0.0;0.000333
н;0.004023;0.009017;2e-06;2.1e-05;5.5e-05;0.000163;0.010277;3e-06;2e-05;0.006279;0.0;0.000247;0.0;3e-06;0.002354;0.009626;1e-06;5.9e-05;0.000262;0.000299;0.002326;3.1e-05;0.0;0.00015;0.000187;2.2e-05;9.1e-05;0.002349;0.001435;0.0;0.000183;0.001536
о;0.024776;2e-06;0.003402;0.007325;0.004684;0.004476;0.002046;0.00195;0.001031;0.000823;0.002753;0.001785;0.004905;0.004848;0.005322;0.000178;0.001246;0.005316;0.00564;0.006545;7.4e-05;9.4e-05;0.000309;0.000106;0.002165;0.000753;0.000172;0.0;0.0;1.4e-05;0.000731;0.000531
п;4.3e-05;0.001348;0.0;0.0;0.0;0.0;0.002076;0.0;0.0;0.00085;0.0;6.5e-05;0.000598;0.0;0.000122;0.008536;5.6e-05;0.00692;2.7e-05;5.6e-05;0.000564;0.0;0.0;1.4e-05;2.8e-05;2.2e-05;5e-06;0.000155;0.000106;0.0;0.0;0.000443
р;0.000781;0.006276;7.4e-05;0.000365;0.00017;0.000684;0.005213;0.000254;5.8e-05;0.005175;0.0;0.000177;3.6e-05;0.000164;0.000548;0.006761;7.1e-05;6e-06;0.00015;0.000457;0.002601;0.000107;9.7e-05;0.000151;6.7e-05;0.000204;1.4e-05;0.000806;0.000914;0.0;0.000221;0.000934
с;0.003507;0.001913;5.6e-05;0.001559;2.3e-05;0.000163;0.004651;1.6e-05;8e-06;0.001386;0.0;0.002859;0.002861;0.001307;0.000804;0.002589;0.001617;0.00013;0.000691;0.009686;0.000831;1e-06;0.000204;4.2e-05;0.000325;9.4e-05;2e-06;0.000304;0.002406;0.0;0.000258;0.003548
т;0.006694;0.005422;1.6e-05;0.002294;5e-06;0.000115;0.005652;0.0;6e-06;0.003643;0.0;0.000441;0.000191;2.4e-05;0.000862;0.014578;6.9e-05;0.002655;0.000961;5.5e-05;0.001472;0.0;2.4e-05;0.000276;0.000264;5e-06;9e-06;0.001708;0.006186;1e-06;0.00015;0.000846
у;0.007403;5e-06;0.000951;0.000649;0.001483;0.001774;0.000195;0.001583;0.000259;1.2e-05;0.000135;0.000604;0.001052;0.001079;0.000186;1e-06;0.000688;0.000413;0.001042;0.001341;1e-06;3e-06;0.00029;5e-06;0.000877;0.000894;0.000257;0.0;0.0;8e-06;0.000809;4.8e-05
ф;1.7e-05;0.000147;0.0;0.0;0.0;0.0;0.000825;0.0;0.0;0.000116;0.0;0.0;1.6e-05;1e-06;0.0;0.000115;0.0;5.5e-05;5e-06;2e-06;3.5e-05;1.9e-05;0.0;0.0;0.0;0.0;0.0;6e-06;2e-05;0.0;0.0;8e-06
х;0.002966;0.000401;0.0;0.000202;0.0;0.0;5.7e-05;0.0;0.0;0.000157;0.0;0.0;0.000165;3.6e-05;0.000123;0.002031;0.0;0.000129;2.7e-05;5e-06;0.000119;0.0;0.0;2e-06;0.0;1.4e-05;0.0;0.0;0.0;2e-06;0.0;0.0
ц;0.000572;0.000716;0.0;2.7e-05;0.0;0.0;0.000797;0.0;0.0;0.000155;0.0;1.2e-05;0.0;1e-06;0.0;0.000225;0.0;0.0;0.0;0.0;0.000169;0.0;0.0;0.0;0.0;0.0;0.0;0.000102;5e-06;0.0;1e-06;0.0
ч;0.000725;0.002372;0.0;6e-06;0.0;0.0;0.003493;0.0;0.0;0.001774;0.0;0.000448;2e-05;2e-06;0.000601;8.4e-05;0.0;0.000121;0.0;0.004123;0.00066;0.0;0.0;0.0;0.0;0.000108;0.0;0.0;0.000226;0.0;0.0;0.0
ш;0.000101;0.001358;0.0;1.6e-05;0.0;0.0;0.002242;0.0;0.0;0.001554;0.0;0.000465;0.000339;1.3e-05;0.000463;0.000184;9e-06;0.0;0.0;9.5e-05;0.00037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000882;0.0;2e-06;0.0
щ;7e-06;0.000384;0.0;0.0;0.0;0.0;0.001334;0.0;0.0;0.000565;0.0;0.0;0.0;0.0;2.4e-05;0.0;0.0;2e-06;0.0;0.0;0.000106;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;1.6e-05;0.0;0.0;0.0
ы;0.004706;0.0;0.000119;0.000679;7e-05;0.000186;0.000655;1.9e-05;8.4e-05;5e-06;0.00134;0.000115;0.001708;0.000992;0.000249;0.0;0.000102;0.000292;0.000827;0.000699;0.0;0.0;0.000693;9e-06;0.000161;0.000334;1.2e-05;0.0;0.0;0.0;0.0;1e-06
ь;0.011133;0.0;6e-05;7e-06;0.000168;1.7e-05;0.00045;1e-06;9.9e-05;0.000109;0.0;0.001436;0.0;0.000302;0.001189;3e-06;1e-06;0.0;0.000814;0.000144;0.0;3e-06;0.0;5.8e-05;0.000184;0.00029;1.6e-05;0.0;0.0;0.0;0.000285;0.000399
э;1.6e-05;0.0;0.0;5e-06;8e-06;0.0;0.0;0.0;1e-06;0.0;3e-06;3.4e-05;1.2e-05;2e-05;7e-06;0.0;2.6e-05;0.0;1.2e-05;0.002847;0.0;9e-06;1.7e-05;0.0;0.0;1e-06;0.0;0.0;0.0;0.0;0.0;0.0
ю;0.003615;0.0;0.000604;0.0;2e-06;0.000314;1e-06;8e-06;2e-06;0.0;0.0;3.1e-05;7e-06;2.1e-05;7.6e-05;0.0;1e-06;4.2e-05;0.000169;0.000287;0.0;1e-05;5e-06;8e-06;9.2e-05;0.000134;0.000206;0.0;0.0;0.0;3.8e-05;0.0
я;0.011409;0.0;1e-05;0.000278;5.7e-05;0.000356;0.000101;0.000116;0.000169;2.2e-05;3.7e-05;0.000413;0.000676;0.000306;0.000441;0.0;2.6e-05;3.3e-05;0.000511;0.00138;0.0;0.0;0.000143;7.9e-05;0.000332;9e-06;0.000164;0.0;0.0;0.0;0.000113;6.4e-05
