Перший символ; ;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ы;ь;э;ю;я
 ;0.0;0.003298;0.006897;0.016875;0.003672;0.007394;0.004336;0.002372;0.004571;0.012532;1e-06;0.007953;0.002621;0.007368;0.016119;0.010636;0.015483;0.003468;0.016306;0.010891;0.004788;0.000974;0.001511;0.000329;0.005921;0.000521;5.1e-05;0.0;0.0;0.002977;8.3e-05;0.002709
а;0.016134;8e-06;0.000522;0.002849;0.000663;0.001775;0.001067;0.001484;0.002909;0.000181;0.00077;0.00558;0.007445;0.003412;0.003174;9e-06;0.000774;0.001985;0.003658;0.003964;4.8e-05;0.000101;0.00082;3.1e-05;0.000776;0.001027;0.000205;0.0;0.0;1e-06;0.000884;0.001507
б;0.000431;0.000592;2e-06;0.000137;1e-06;2.4e-05;0.002119;1e-06;1e-06;0.001036;0.0;7.4e-05;0.000806;3.6e-05;0.000307;0.002211;0.0;0.001078;0.000178;7e-06;0.001064;0.0;4.2e-05;3e-06;3e-05;1.3e-05;0.000172;0.003767;0.000198;0.0;1e-06;0.00066
в;0.005537;0.005224;1.3e-05;4.9e-05;1.1e-05;0.000931;0.005093;0.0;0.000382;0.003404;0.0;0.000137;0.000724;0.000109;0.001147;0.006726;0.000311;0.000499;0.003731;0.000229;0.000517;0.0;4.8e-05;2.2e-05;0.00011;0.000681;1.4e-05;0.002412;0.000237;0.0;1e-06;0.000241
г;0.001299;0.000896;1e-06;5e-06;0.0;0.001262;0.000237;0.0;1e-06;0.000597;0.0;6e-05;0.001138;1e-05;0.000266;0.008696;0.0;0.000946;1e-05;2e-06;0.000496;0.0;0.0;0.0;2.2e-05;6e-06;0.0;0.0;0.0;0.0;1e-06;0.0
д;0.000928;0.005171;1.7e-05;0.000647;1.1e-05;2.3e-05;0.004229;1.3e-05;1.3e-05;0.002326;0.0;0.000207;0.00067;0.000255;0.001636;0.003956;7.3e-05;0.001592;0.000439;0.00016;0.001699;0.0;4.3e-05;0.000322;7.8e-05;5.8e-05;0.0;0.000411;0.000803;0.0;6e-06;0.000487
е;0.019521;3.6e-05;0.001442;0.001068;0.003786;0.003345;0.001342;0.000811;0.001248;0.000101;0.002095;0.001219;0.005038;0.004274;0.006893;0.000207;0.001158;0.005445;0.004263;0.005033;0.000134;1.3e-05;0.000593;0.000551;0.001084;0.001709;0.000834;0.0;0.0;0.0;0.000267;0.000255
ж;0.000444;0.001143;1.4e-05;0.0;1.3e-05;0.000764;0.004334;4e-06;0.0;0.001273;0.0;9.3e-05;1.6e-05;2e-06;0.000683;3.1e-05;0.0;2e-06;5e-06;2.4e-05;0.000327;0.0;0.0;0.0;9e-06;0.0;0.0;0.0;4e-05;0.0;0.0;0.0
з;0.001284;0.00437;0.000148;0.00085;0.000255;0.000701;0.000288;6.6e-05;1.2e-05;0.000357;0.0;8e-05;0.000284;0.000248;0.001856;0.000681;2e-06;0.00025;8e-06;1.2e-05;0.000237;0.0;0.0;2e-06;1.2e-05;7e-06;0.0;0.000312;0.000129;0.0;1e-06;0.000263
и;0.018207;8.5e-05;0.000659;0.002426;0.000546;0.001497;0.001768;0.000276;0.001841;0.000487;0.001166;0.002138;0.005085;0.002765;0.002703;0.00012;0.000183;0.000611;0.002075;0.005176;5e-05;4.5e-05;0.00151;0.0006;0.001722;0.000866;0.000118;0.0;0.0;0.0;0.00029;0.000988
