, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
 ,0.000000,0.001661,0.007285,0.015395,0.003877,0.006942,0.003555,0.002065,0.004349,0.011913,0.000004,0.010080,0.002121,0.004847,0.015850,0.009406,0.015133,0.003795,0.015592,0.008079,0.004108,0.000249,0.001721,0.000481,0.005559,0.000773,0.000133,0.000000,0.000000,0.000000,0.001468,0.000077,0.001159,0.000000
а,0.014270,0.000004,0.000884,0.003228,0.000558,0.001563,0.000798,0.001026,0.003576,0.000090,0.000786,0.006057,0.007556,0.003688,0.004812,0.000043,0.001151,0.003172,0.003589,0.004220,0.000090,0.000133,0.001142,0.000155,0.000708,0.000871,0.000167,0.000000,0.000000,0.000000,0.000026,0.000631,0.001764,0.000000
б,0.000262,0.001073,0.000013,0.000026,0.000000,0.000017,0.001975,0.000021,0.000004,0.000786,0.000000,0.000155,0.000734,0.000017,0.000223,0.002181,0.000004,0.001606,0.000146,0.000009,0.001275,0.000000,0.000043,0.000009,0.000000,0.000013,0.000086,0.000077,0.004207,0.000077,0.000000,0.000004,0.000434,0.000000
в,0.005542,0.006345,0.000021,0.000112,0.000052,0.000335,0.005160,0.000009,0.000378,0.003782,0.000000,0.000228,0.000515,0.000270,0.000974,0.007058,0.000219,0.000661,0.003881,0.000116,0.000640,0.000000,0.000009,0.000026,0.000039,0.001644,0.000039,0.000021,0.002443,0.000197,0.000000,0.000004,0.000339,0.000000
г,0.000747,0.000871,0.000000,0.000039,0.000004,0.001133,0.000232,0.000000,0.000004,0.000747,0.000000,0.000073,0.001322,0.000021,0.000309,0.008410,0.000004,0.000798,0.000017,0.000017,0.000756,0.000000,0.000000,0.000000,0.000021,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
д,0.001288,0.004551,0.000026,0.001035,0.000013,0.000030,0.004207,0.000021,0.000039,0.002116,0.000000,0.000253,0.000464,0.000073,0.002211,0.003683,0.000082,0.001391,0.000339,0.000215,0.001653,0.000000,0.000039,0.000240,0.000013,0.000060,0.000000,0.000034,0.000713,0.000601,0.000000,0.000052,0.000356,0.000009
е,0.017627,0.000030,0.001434,0.001936,0.003636,0.002623,0.001193,0.000953,0.001232,0.000137,0.001812,0.001112,0.005499,0.004022,0.005903,0.000313,0.001215,0.005469,0.004598,0.004761,0.000133,0.000004,0.000820,0.000622,0.001120,0.000700,0.000854,0.000000,0.000000,0.000000,0.000000,0.000434,0.000172,0.000004
ж,0.000412,0.001026,0.000030,0.000000,0.000021,0.000584,0.003662,0.000013,0.000000,0.001683,0.000000,0.000099,0.000000,0.000004,0.001099,0.000034,0.000004,0.000004,0.000043,0.000000,0.000167,0.000000,0.000000,0.000155,0.000009,0.000000,0.000000,0.000000,0.000000,0.000146,0.000000,0.000000,0.000000,0.000000
з,0.001327,0.005954,0.000163,0.000902,0.000249,0.000824,0.000464,0.000073,0.000060,0.000348,0.000000,0.000116,0.000202,0.000155,0.001434,0.000721,0.000034,0.000167,0.000021,0.000021,0.000301,0.000000,0.000000,0.000004,0.000026,0.000004,0.000000,0.000034,0.000386,0.000167,0.000000,0.000009,0.000305,0.000000
и,0.019752,0.000107,0.000541,0.003610,0.000468,0.001721,0.001979,0.000279,0.002224,0.000361,0.001327,0.002520,0.004761,0.002619,0.002855,0.000146,0.000386,0.000811,0.002941,0.003387,0.000017,0.000369,0.002134,0.000923,0.001996,0.000382,0.000326,0.000000,0.000000,0.000000,0.000000,0.000279,0.000781,0.000000
