, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
 ,0.000000,0.001584,0.007107,0.015274,0.003887,0.007036,0.003628,0.002121,0.004379,0.012080,0.000002,0.009953,0.002162,0.004679,0.015549,0.009457,0.015386,0.003718,0.015513,0.007744,0.004153,0.000249,0.001734,0.000401,0.005433,0.000848,0.000118,0.000000,0.000000,0.000000,0.001445,0.000073,0.001138,0.000000
а,0.014542,0.000004,0.000856,0.003005,0.000610,0.001556,0.000880,0.001030,0.003467,0.000084,0.000801,0.005789,0.007474,0.003694,0.004778,0.000043,0.001232,0.003100,0.003409,0.004297,0.000099,0.000133,0.001084,0.000197,0.000738,0.000867,0.000204,0.000000,0.000000,0.000000,0.000015,0.000605,0.001799,0.000000
б,0.000270,0.001174,0.000006,0.000026,0.000002,0.000026,0.002097,0.000015,0.000006,0.000826,0.000000,0.000122,0.000762,0.000019,0.000213,0.002142,0.000002,0.001548,0.000124,0.000009,0.001378,0.000000,0.000039,0.000013,0.000000,0.000019,0.000092,0.000077,0.004233,0.000084,0.000000,0.000002,0.000412,0.000000
в,0.005559,0.006478,0.000021,0.000105,0.000047,0.000341,0.005117,0.000006,0.000391,0.003784,0.000000,0.000251,0.000549,0.000249,0.000974,0.007118,0.000230,0.000603,0.003789,0.000133,0.000631,0.000004,0.000021,0.000026,0.000049,0.001700,0.000047,0.000011,0.002664,0.000213,0.000000,0.000002,0.000358,0.000000
г,0.000760,0.000865,0.000000,0.000032,0.000002,0.001221,0.000245,0.000000,0.000004,0.000734,0.000000,0.000071,0.001331,0.000021,0.000380,0.008519,0.000004,0.000736,0.000011,0.000021,0.000801,0.000000,0.000000,0.000000,0.000011,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
д,0.001320,0.004435,0.000026,0.001071,0.000009,0.000017,0.004226,0.000021,0.000034,0.002071,0.000000,0.000247,0.000479,0.000082,0.002174,0.003469,0.000075,0.001352,0.000326,0.000247,0.001724,0.000000,0.000026,0.000208,0.000006,0.000071,0.000000,0.000021,0.000786,0.000648,0.000000,0.000047,0.000341,0.000009
е,0.017466,0.000028,0.001389,0.001835,0.003509,0.002582,0.001172,0.000921,0.001178,0.000152,0.001833,0.001114,0.005579,0.003988,0.005909,0.000292,0.001239,0.005265,0.004501,0.004664,0.000112,0.000002,0.000738,0.000569,0.001123,0.000685,0.000777,0.000000,0.000000,0.000000,0.000006,0.000408,0.000144,0.000004
ж,0.000429,0.001024,0.000028,0.000000,0.000011,0.000708,0.003555,0.000015,0.000000,0.001591,0.000000,0.000101,0.000004,0.000013,0.001110,0.000039,0.000002,0.000004,0.000034,0.000000,0.000174,0.000000,0.000000,0.000163,0.000009,0.000000,0.000000,0.000000,0.000000,0.000148,0.000000,0.000000,0.000000,0.000000
з,0.001357,0.005997,0.000150,0.000902,0.000236,0.000771,0.000492,0.000084,0.000052,0.000348,0.000000,0.000120,0.000221,0.000180,0.001505,0.000715,0.000028,0.000178,0.000021,0.000017,0.000296,0.000000,0.000000,0.000002,0.000026,0.000006,0.000000,0.000047,0.000416,0.000148,0.000000,0.000004,0.000303,0.000000
и,0.019838,0.000116,0.000567,0.003679,0.000434,0.001788,0.002039,0.000303,0.002237,0.000331,0.001382,0.002404,0.004763,0.002565,0.002859,0.000155,0.000343,0.000831,0.002966,0.003486,0.000021,0.000391,0.002215,0.000923,0.002035,0.000389,0.000298,0.000000,0.000000,0.000000,0.000000,0.000266,0.000794,0.000000
