 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ
à;0.00045301627145329104;0.001589270198213185;0.0057109756188128006;0.0016672484088731778;0.0031971066370597018;0.0015521377169465218;0.0015447112206931892;0.005231966610472845;0.0016152629350998492;0.0009245987835399137;0.00652789020667939;0.010876103763005652;0.00403630071368629;0.008098594164259244;0.0013479090699798741;0.002610413433046423;0.0036612626528929916;0.006390500025992737;0.006282815830319414;0.0005829799558866122;0.0006906641515599355;0.0012699308593198814;8.911795503999168e-05;0.0013367693255998752;0.0013182030849665436;0.000267353865119975;0.0;0.0;0.00034533207577996776;0.0008540470691332536;0.0034867399909396745
á;0.0013961812956265363;2.970598501333056e-05;7.055171440666009e-05;1.85662406333316e-05;7.42649625333264e-06;0.002458170259853104;7.42649625333264e-06;3.71324812666632e-06;0.0009171722872865811;0.0;0.0003156260907666372;0.0008540470691332536;8.169145878665904e-05;0.00032305258701996985;0.002747803613733077;1.113974437999896e-05;0.0015521377169465218;0.00010025769941999065;1.85662406333316e-05;0.0014593065137798638;0.0;5.198547377332848e-05;7.42649625333264e-06;3.341923313999688e-05;3.71324812666632e-06;0.0001670961656999844;0.0041848306387529425;0.00012253718817998856;3.341923313999688e-05;1.113974437999896e-05;0.0005087149933532859
â;0.007062597936919341;0.00024878762448664343;0.00047900900833995527;0.0004270235345666268;0.000672097910926604;0.005020311467252864;2.599273688666424e-05;0.0008057748434865914;0.004095712683712951;0.0;0.0007092303921932672;0.001288497099953213;0.00036018506828663303;0.0021759634022264635;0.008792971563945847;0.0010248564829599043;0.0007834953547265935;0.004233102864399605;0.000835480828499922;0.0010842684529865656;1.485299250666528e-05;7.055171440666009e-05;7.42649625333264e-05;0.00025250087261330975;0.0015484244688198554;1.485299250666528e-05;0.003211959629566367;0.00021908163947331288;0.00034161882765330144;3.71324812666632e-06;0.00016338291757331808
ã;0.0012847838518265469;4.084572939332952e-05;0.00015595642131998545;1.113974437999896e-05;0.0011325406786332275;0.0006758111590532702;0.0;7.055171440666009e-05;0.001043422723593236;0.0;0.0002227948875999792;0.0018863300483464905;4.8272225646662164e-05;0.00041217054205996154;0.010772132815458994;0.00011882394005332224;0.001566990709453187;0.0001485299250666528;6.312521815332744e-05;0.000939451776046579;7.42649625333264e-06;3.71324812666632e-06;0.0;4.8272225646662164e-05;1.485299250666528e-05;0.0;0.0;0.0;1.85662406333316e-05;1.85662406333316e-05;1.113974437999896e-05
ä;0.004764097346512889;0.00010025769941999065;0.0011808129042798897;0.00010397094754665696;7.42649625333264e-05;0.0051688413923195176;2.227948875999792e-05;5.56987218999948e-05;0.0033679160508863523;0.0;0.0003527585720333004;0.000753789369713263;0.00014110342881332017;0.002146257417213133;0.0043259340675662625;0.00022650813572664552;0.0024841629967397682;0.0004975752489732869;0.00038989105329996363;0.0019643082590064835;2.970598501333056e-05;5.941197002666112e-05;0.00020794189509331393;0.00010025769941999065;0.00012625043630665487;0.0;0.0007500761215865967;0.0009914372498199076;2.599273688666424e-05;1.85662406333316e-05;0.0004604427677066237
å;0.00018194915820664967;0.0022242356278731256;0.003453320757799678;0.004634133662079568;0.003561004953473001;0.002031146725286477;0.0012736441074465477;0.002060852710299808;0.0014704462581598627;0.002680965147453083;0.0022576548610131228;0.007504474463992633;0.005655276896912805;0.009372238271705791;0.0016523954163665125;0.003189680140806369;0.008440212991912546;0.006112006416492763;0.005094576429786191;0.0005755534596332796;5.941197002666112e-05;0.0014407402731465321;0.00032676583514663617;0.0015335714763131901;0.0009802975054399084;0.0008020615953599252;0.0;0.0;0.00030077309825997194;0.00043816327894662577;0.0006423919259132734
æ;0.00171552063451984;6.683846627999375e-05;2.227948875999792e-05;2.227948875999792e-05;0.0007760688584732609;0.004381632789466258;1.85662406333316e-05;7.42649625333264e-06;0.0012959235962065458;0.0;0.00010025769941999065;0.0;2.227948875999792e-05;0.0012773573555732141;5.198547377332848e-05;7.42649625333264e-06;0.0;2.599273688666424e-05;1.85662406333316e-05;0.0002636406169933087;0.0;7.42649625333264e-06;0.0;7.42649625333264e-05;0.0;0.0;0.0;1.85662406333316e-05;1.85662406333316e-05;3.341923313999688e-05;1.85662406333316e-05
ç;0.006542743199186056;0.00017452266195331704;0.0009431650241732453;0.000568126963379947;0.0008280543322465893;0.0002599273688666424;0.00017080941382665072;0.00010397094754665696;0.0004418765270732921;0.0;0.0003490453239066341;0.000185662406333316;0.0003156260907666372;0.0018751903039664916;0.000939451776046579;0.0002042286469666476;0.00023022138385331184;0.0004047440458066289;5.198547377332848e-05;0.0002970598501333056;0.0;3.71324812666632e-06;7.42649625333264e-06;4.455897751999584e-05;4.455897751999584e-05;3.71324812666632e-06;0.0005941197002666112;0.0013144898368398774;3.341923313999688e-05;0.00010768419567332328;0.000627538933406608
è;0.0004233102864399605;0.0014890124987931943;0.005313658069259504;0.0012476513705598836;0.0030225839751063847;0.003130268170779708;0.0005569872189999481;0.0025472882148930955;0.0021091249359464696;0.001774932604546501;0.0032416656145796974;0.0060934401758594315;0.003872917796112972;0.005755534596332796;0.0019234625296131538;0.00257328095177976;0.0013553355662332069;0.005283952084246173;0.004786376835272887;0.0005718402115066133;0.0001336769325599875;0.0021722501540997973;0.0017303736270265053;0.0019346022739931527;0.000579266707759946;0.00015966966944665176;0.0;3.71324812666632e-06;0.00023764788010664447;0.000382464557046631;0.00206827920655314
é;0.00021165514321998025;0.00039731754955329627;0.0008057748434865914;0.0003119128426399709;0.0007055171440666008;0.00014110342881332017;0.00010025769941999065;0.00011511069192665592;0.0006201124371532754;3.71324812666632e-06;0.0008689000616399189;0.00038989105329996363;0.00047900900833995527;0.0009877240016932412;0.0006163991890266091;0.0008726133097665853;0.00036389831641329935;0.0017378001232798378;0.0006572449184199387;0.0002636406169933087;5.941197002666112e-05;4.455897751999584e-05;5.56987218999948e-05;0.0003119128426399709;0.00021908163947331288;1.113974437999896e-05;0.0;0.0;4.455897751999584e-05;1.113974437999896e-05;0.00010025769941999065
