—имвол; ≥льк≥сть;„астота
о;61231;0.11368294802195272
а;45176;0.08387484868513884
е;42903;0.07965474218918256
и;35789;0.06644671860263046
н;35097;0.06516193475080392
т;30590;0.05679413009736137
с;28102;0.05217484942778847
л;27261;0.050613428590525276
в;24794;0.04603313702628237
р;24545;0.04557083763451241
к;19315;0.03586069378327999
д;16380;0.03041150215739716
м;15921;0.02955931171232724
у;15443;0.028671845410053992
п;13838;0.025691963788404267
€;12469;0.023150245445701174
г;11168;0.020734777539304732
ь;10774;0.020003267658351465
ы;10223;0.018980267799454897
з;9592;0.01780873801549167
б;9302;0.017270317037125053
ч;7340;0.013627620624865396
й;6203;0.011516639064855592
ж;5456;0.010129740889545722
ш;5087;0.009444646610175786
х;4595;0.00853118757101587
ю;3494;0.006487044477286061
ц;2179;0.004045583834002955
э;1628;0.0030225839751063847
щ;1511;0.002805358959696405
ф;1206;0.002239088620379791
