#;a;b;X*;X**;Y*;Y**
1;13;344;но;ен;яя;ус
2;16;535;ст;то;ус;вп
3;21;164;ст;то;вп;фш
4;33;299;но;ен;ус;вп
5;37;622;ст;то;ус;фш
6;42;780;ст;на;ус;не
7;45;532;но;на;вп;не
8;46;37;но;ен;яя;вп
9;53;389;на;ен;ус;фш
10;55;15;на;ен;вп;ус
11;72;805;ст;но;фш;вп
12;80;13;то;ен;ус;яя
13;80;683;ст;но;вп;не
14;87;207;то;ен;яя;не
15;99;148;то;на;вп;фш
16;100;143;то;ен;фш;ус
17;105;66;но;ен;ус;не
18;108;721;ст;ен;яя;ус
19;108;759;на;ен;вп;фш
20;110;914;то;на;не;вп
21;112;30;но;на;ус;яя
22;118;765;но;ен;яя;не
23;120;98;на;ен;не;вп
24;135;67;ст;ен;ус;фш
25;140;885;но;на;фш;ус
26;145;185;ст;на;не;яя
27;152;450;ст;но;фш;не
28;167;221;то;ен;ус;не
29;167;575;то;на;яя;ус
30;175;36;на;ен;не;ус
31;177;699;то;ен;вп;фш
32;179;544;ст;на;вп;ус
33;180;511;то;ен;фш;яя
34;187;557;ст;на;ус;яя
35;207;228;ст;ен;ус;не
36;209;24;то;на;не;фш
37;211;108;но;ен;фш;яя
38;215;475;ст;ен;не;вп
39;221;718;ст;на;вп;не
40;224;453;но;ен;фш;ус
