Номер,Біграма,Кількість,Частота
1,ээ,74,0.016544
2,вд,57,0.012743
3,чф,56,0.012520
4,цг,56,0.012520
5,гн,56,0.012520
6,ур,50,0.011178
7,иэ,48,0.010731
8,цн,47,0.010507
9,вш,46,0.010284
10,мй,45,0.010060
11,кч,44,0.009837
12,гг,43,0.009613
13,эч,43,0.009613
14,рэ,41,0.009166
15,ог,41,0.009166
16,ыэ,40,0.008943
17,фэ,40,0.008943
18,йш,40,0.008943
19,ду,39,0.008719
20,кд,39,0.008719
21,эе,38,0.008495
22,тй,37,0.008272
23,кг,36,0.008048
24,пл,36,0.008048
25,яч,36,0.008048
26,сн,36,0.008048
27,нр,35,0.007825
28,яэ,35,0.007825
29,ьэ,34,0.007601
30,зй,33,0.007378
31,аэ,31,0.006930
32,вч,31,0.006930
33,тф,30,0.006707
34,ьй,30,0.006707
35,эш,30,0.006707
36,ьо,29,0.006483
37,еч,29,0.006483
38,юг,29,0.006483
39,юф,27,0.006036
40,ьч,27,0.006036
41,эн,27,0.006036
42,юб,26,0.005813
43,оп,25,0.005589
44,фр,25,0.005589
45,йм,25,0.005589
46,уй,24,0.005366
47,ед,24,0.005366
48,ши,23,0.005142
49,юн,23,0.005142
50,дэ,22,0.004918
51,цл,22,0.004918
52,щш,22,0.004918
53,щп,22,0.004918
54,фп,22,0.004918
55,ве,22,0.004918
56,уи,21,0.004695
57,ая,21,0.004695
58,уч,21,0.004695
59,эс,21,0.004695
60,сг,21,0.004695
61,жд,21,0.004695
62,же,21,0.004695
63,тг,20,0.004471
64,иш,20,0.004471
65,лг,20,0.004471
66,юш,20,0.004471
67,цд,20,0.004471
68,эй,20,0.004471
69,цч,19,0.004248
70,йг,19,0.004248
71,эд,18,0.004024
72,яд,18,0.004024
73,нч,18,0.004024
74,еш,18,0.004024
75,лу,18,0.004024
76,гэ,18,0.004024
77,те,18,0.004024
78,сс,17,0.003801
79,чс,17,0.003801
80,юд,17,0.003801
81,лв,17,0.003801
82,зэ,17,0.003801
83,шу,16,0.003577
84,ка,16,0.003577
85,ир,16,0.003577
86,кл,16,0.003577
87,ез,16,0.003577
88,рт,16,0.003577
89,жч,16,0.003577
90,юм,16,0.003577
91,цо,15,0.003353
92,ал,15,0.003353
93,шы,15,0.003353
94,яу,15,0.003353
95,йэ,15,0.003353
96,цу,15,0.003353
97,юо,14,0.003130
98,шэ,14,0.003130
99,йс,14,0.003130
100,тэ,14,0.003130
101,ын,14,0.003130
102,рш,14,0.003130
103,тб,13,0.002906
104,мэ,13,0.002906
105,ку,13,0.002906
106,яа,13,0.002906
107,тш,13,0.002906
108,аз,13,0.002906
109,яг,13,0.002906
110,ыщ,13,0.002906
111,шс,13,0.002906
112,вр,12,0.002683
113,хл,12,0.002683
114,аг,12,0.002683
115,цэ,12,0.002683
116,се,12,0.002683
117,хч,12,0.002683
118,ят,12,0.002683
119,кж,12,0.002683
120,яб,12,0.002683
121,щр,12,0.002683
122,рн,12,0.002683
123,уд,12,0.002683
124,тл,11,0.002459
125,щя,11,0.002459
126,шш,11,0.002459
127,чб,11,0.002459
128,йч,11,0.002459
129,ап,11,0.002459
130,уш,11,0.002459
131,км,11,0.002459
132,ла,11,0.002459
133,яф,10,0.002236
134,оч,10,0.002236
135,чд,10,0.002236
136,пб,10,0.002236
137,цш,10,0.002236
138,бй,10,0.002236
139,да,10,0.002236
140,фд,10,0.002236
141,фч,10,0.002236
142,жо,10,0.002236
143,гм,10,0.002236
144,шч,10,0.002236
145,эж,10,0.002236
146,шн,10,0.002236
147,ои,9,0.002012
148,зу,9,0.002012
149,жл,9,0.002012
150,св,9,0.002012
151,лн,9,0.002012
152,ту,9,0.002012
153,ыя,9,0.002012
154,од,9,0.002012
155,ыч,9,0.002012
156,мз,9,0.002012
157,дф,9,0.002012
158,мф,9,0.002012
159,цр,8,0.001789
160,хд,8,0.001789
161,нш,8,0.001789
162,ош,8,0.001789
163,нд,8,0.001789
164,зг,8,0.001789
165,йф,8,0.001789
166,ны,8,0.001789
167,ие,8,0.001789
168,чй,8,0.001789
169,дб,8,0.001789
170,фе,8,0.001789
171,ре,8,0.001789
172,юй,8,0.001789
173,чч,8,0.001789
174,щг,8,0.001789
175,ой,8,0.001789
176,иб,7,0.001565
177,кш,7,0.001565
178,гр,7,0.001565
179,пм,7,0.001565
180,рс,7,0.001565
181,хж,7,0.001565
182,ел,7,0.001565
183,ем,7,0.001565
184,жв,7,0.001565
185,эт,7,0.001565
186,бл,7,0.001565
187,лт,7,0.001565
188,ет,7,0.001565
189,гт,7,0.001565
190,зш,7,0.001565
191,эв,7,0.001565
192,ыл,7,0.001565
193,нф,7,0.001565
194,фс,7,0.001565
195,ян,7,0.001565
196,ыд,7,0.001565
197,зж,7,0.001565
198,ме,7,0.001565
199,ше,7,0.001565
200,чм,6,0.001341
201,гл,6,0.001341
202,ру,6,0.001341
203,ьд,6,0.001341
204,аи,6,0.001341
205,уэ,6,0.001341
206,пу,6,0.001341
207,ар,6,0.001341
208,дш,6,0.001341
209,нг,6,0.001341
210,зс,6,0.001341
211,эщ,6,0.001341
212,дй,6,0.001341
213,пч,6,0.001341
214,ьь,6,0.001341
215,ис,6,0.001341
216,цв,6,0.001341
217,гд,5,0.001118
218,ай,5,0.001118
219,жа,5,0.001118
220,гу,5,0.001118
221,цм,5,0.001118
222,бп,5,0.001118
223,шй,5,0.001118
224,ум,5,0.001118
225,ыв,5,0.001118
226,жу,5,0.001118
227,ес,5,0.001118
228,тч,5,0.001118
229,юч,5,0.001118
230,рж,5,0.001118
231,ша,5,0.001118
232,фм,5,0.001118
233,йд,5,0.001118
234,ьк,5,0.001118
235,ит,5,0.001118
236,ья,5,0.001118
237,уя,5,0.001118
238,мб,5,0.001118
239,яи,5,0.001118
240,дл,5,0.001118
241,дя,5,0.001118
242,ея,5,0.001118
243,ав,5,0.001118
244,лз,5,0.001118
245,юэ,5,0.001118
246,сп,5,0.001118
247,юя,5,0.001118
248,тв,5,0.001118
249,йб,4,0.000894
250,мм,4,0.000894
251,йе,4,0.000894
252,см,4,0.000894
253,бд,4,0.000894
254,вн,4,0.000894
255,дг,4,0.000894
256,чя,4,0.000894
257,ып,4,0.000894
258,зя,4,0.000894
259,жк,4,0.000894
260,цз,4,0.000894
261,то,4,0.000894
262,вй,4,0.000894
263,ув,4,0.000894
264,ус,4,0.000894
265,иг,4,0.000894
266,лм,4,0.000894
267,аы,4,0.000894
268,им,4,0.000894
269,лс,4,0.000894
270,пд,4,0.000894
271,бш,4,0.000894
272,он,4,0.000894
273,нц,4,0.000894
274,пь,4,0.000894
275,яр,4,0.000894
276,ьм,4,0.000894
277,ин,4,0.000894
278,яы,4,0.000894
279,хщ,4,0.000894
280,пр,3,0.000671
281,бо,3,0.000671
282,ыу,3,0.000671
283,жс,3,0.000671
284,нс,3,0.000671
285,ср,3,0.000671
286,фн,3,0.000671
287,хш,3,0.000671
288,щз,3,0.000671
289,лф,3,0.000671
290,сд,3,0.000671
291,кп,3,0.000671
292,фш,3,0.000671
293,мс,3,0.000671
294,хт,3,0.000671
295,яв,3,0.000671
296,кй,3,0.000671
297,сш,3,0.000671
298,эр,3,0.000671
299,гб,3,0.000671
300,чэ,3,0.000671
301,бэ,3,0.000671
302,уы,3,0.000671
303,дж,3,0.000671
304,ял,3,0.000671
305,хэ,3,0.000671
306,юр,3,0.000671
307,ву,3,0.000671
308,кб,3,0.000671
309,сл,3,0.000671
310,лщ,3,0.000671
311,уб,3,0.000671
312,яц,3,0.000671
313,ыс,3,0.000671
314,ип,3,0.000671
315,эь,3,0.000671
316,ом,3,0.000671
317,ям,3,0.000671
318,ад,3,0.000671
319,ыж,3,0.000671
320,бт,3,0.000671
321,иф,3,0.000671
322,зн,3,0.000671
323,ха,3,0.000671
324,зз,3,0.000671
325,фа,3,0.000671
326,чг,3,0.000671
327,чр,3,0.000671
328,мн,2,0.000447
329,вм,2,0.000447
330,та,2,0.000447
331,кщ,2,0.000447
332,кс,2,0.000447
333,бм,2,0.000447
334,ще,2,0.000447
335,шм,2,0.000447
336,ое,2,0.000447
337,рз,2,0.000447
338,бг,2,0.000447
339,чт,2,0.000447
