КАНДИДАТИ НА КЛЮЧ (перші 40)
==================================================

1. a=15, b=135
2. a=18, b=867
3. a=21, b=919
4. a=25, b=562
5. a=27, b=375
6. a=47, b=688
7. a=48, b=520
8. a=56, b=268
9. a=57, b=28
10. a=61, b=389
11. a=68, b=571
12. a=76, b=458
13. a=78, b=214
14. a=79, b=875
15. a=94, b=269
16. a=101, b=102
17. a=103, b=499
18. a=105, b=207
19. a=108, b=788
20. a=110, b=943
21. a=127, b=873
22. a=130, b=370
23. a=133, b=323
24. a=141, b=720
25. a=148, b=855
26. a=152, b=183
27. a=159, b=902
28. a=175, b=497
29. a=176, b=329
30. a=178, b=783
31. a=181, b=28
32. a=184, b=397
33. a=193, b=185
34. a=196, b=431
35. a=197, b=438
36. a=201, b=454
37. a=208, b=679
38. a=211, b=431
39. a=219, b=705
40. a=220, b=291
