
=== Літери з пробілами  ===
Символ Кількість  % від загального
н     445             7.547%
с     393             6.666%
в     335             5.682%
к     304             5.156%
ь     296             5.020%
щ     268             4.545%
и     265             4.495%
ц     247             4.189%
у     225             3.816%
д     208             3.528%
р     204             3.460%
я     175             2.968%
б     174             2.951%
л     167             2.832%
о     161             2.731%
з     154             2.612%
т     153             2.595%
х     153             2.595%
м     152             2.578%
ш     140             2.374%
э     131             2.222%
й     125             2.120%
ф     124             2.103%
ы     122             2.069%
ч     119             2.018%
п     116             1.967%
ю     111             1.883%
е     107             1.815%
а     107             1.815%
ж     101             1.713%
      58              0.984%
г     56              0.950%

=== Літери без пробілів  ===
Символ Кількість  % від загального
н     445             7.622%
с     393             6.732%
в     335             5.738%
к     304             5.207%
ь     296             5.070%
щ     268             4.591%
и     265             4.539%
ц     247             4.231%
у     225             3.854%
д     208             3.563%
р     204             3.494%
я     175             2.998%
б     174             2.980%
л     167             2.861%
о     161             2.758%
з     154             2.638%
т     153             2.621%
х     153             2.621%
м     152             2.604%
ш     140             2.398%
э     131             2.244%
й     125             2.141%
ф     124             2.124%
ы     122             2.090%
ч     119             2.038%
п     116             1.987%
ю     111             1.901%
е     107             1.833%
а     107             1.833%
ж     101             1.730%
г     56              0.959%

=== Біграми з пробілами  ===
Символ Кількість  % від загального
вн    56              0.950%
тн    51              0.865%
дк    50              0.848%
ун    50              0.848%
хщ    48              0.814%
вв    46              0.780%
пь    42              0.712%
цц    38              0.645%
ну    35              0.594%
йн    35              0.594%
зт    35              0.594%
шн    35              0.594%
ак    35              0.594%
бу    33              0.560%
сс    32              0.543%
нх    31              0.526%
ья    31              0.526%
рн    31              0.526%
шв    30              0.509%
су    30              0.509%
ос    29              0.492%
нм    29              0.492%
мщ    29              0.492%
ри    29              0.492%
юс    28              0.475%
иб    27              0.458%
бщ    27              0.458%
нс    27              0.458%
мс    27              0.458%
фк    27              0.458%
лц    27              0.458%
ьц    27              0.458%
ис    26              0.441%
ул    26              0.441%
рщ    26              0.441%
сч    26              0.441%
св    25              0.424%
кя    25              0.424%
ав    25              0.424%
ье    25              0.424%
яь    25              0.424%
эи    24              0.407%
тс    24              0.407%
цн    23              0.390%
кл    23              0.390%
чс    23              0.390%
нш    22              0.373%
лв    22              0.373%
ст    22              0.373%
ын    22              0.373%
шд    22              0.373%
юи    21              0.356%
ыо    21              0.356%
вп    21              0.356%
сп    21              0.356%
кк    21              0.356%
фд    20              0.339%
жл    20              0.339%
нк    20              0.339%
ви    20              0.339%
ры    20              0.339%
лр    19              0.322%
их    19              0.322%
си    19              0.322%
щш    19              0.322%
щщ    19              0.322%
щь    19              0.322%
еу    19              0.322%
ця    18              0.305%
жв    18              0.305%
нщ    18              0.305%
сц    18              0.305%
уб    18              0.305%
нн    18              0.305%
ду    17              0.288%
мн    17              0.288%
ьк    17              0.288%
зф    17              0.288%
сх    17              0.288%
эк    17              0.288%
кч    17              0.288%
оз    17              0.288%
ны    17              0.288%
яя    17              0.288%
дц    17              0.288%
ао    16              0.271%
йь    16              0.271%
ию    16              0.271%
жс    16              0.271%
нв    16              0.271%
ть    16              0.271%
вй    15              0.254%
ск    15              0.254%
иь    15              0.254%
кц    15              0.254%
щн    15              0.254%
сш    15              0.254%
вз    15              0.254%
нь    15              0.254%
вд    14              0.237%
юд    14              0.237%
ьв    14              0.237%
кз    14              0.237%
яс    14              0.237%
цэ    14              0.237%
яв    14              0.237%
чщ    14              0.237%
нф    14              0.237%
ни    14              0.237%
ив    14              0.237%
нч    14              0.237%
пр    14              0.237%
щх    14              0.237%
ьс    14              0.237%
рс    14              0.237%
чз    14              0.237%
пн    14              0.237%
ке    13              0.220%
шс    13              0.220%
ню    13              0.220%
нд    13              0.220%
дд    13              0.220%
на    13              0.220%
сэ    13              0.220%
щи    13              0.220%
ищ    13              0.220%
цв    13              0.220%
пв    13              0.220%
щб    13              0.220%
ир    13              0.220%
сю    12              0.204%
яз    12              0.204%
ьа    12              0.204%
щр    12              0.204%
кт    12              0.204%
нр    12              0.204%
кф    12              0.204%
еи    12              0.204%
шь    12              0.204%
др    12              0.204%
фи    12              0.204%
сл    12              0.204%
жь    12              0.204%
сй    12              0.204%
щс    12              0.204%
вр    12              0.204%
ки    12              0.204%
вь    12              0.204%
кд    11              0.187%
бс    11              0.187%
мь    11              0.187%
ус    11              0.187%
ян    11              0.187%
цр    11              0.187%
ьз    11              0.187%
кх    11              0.187%
мк    11              0.187%
йд    11              0.187%
ыв    11              0.187%
цф    11              0.187%
бк    11              0.187%
цм    11              0.187%
вэ    11              0.187%
вш    11              0.187%
сы    10              0.170%
ыэ    10              0.170%
дь    10              0.170%
ьл    10              0.170%
лы    10              0.170%
ху    10              0.170%
ыц    10              0.170%
но    10              0.170%
нй    10              0.170%
зц    10              0.170%
кс    10              0.170%
що    10              0.170%
оь    10              0.170%
кп    10              0.170%
иэ    10              0.170%
цш    10              0.170%
ии    10              0.170%
вю    10              0.170%
ьй    10              0.170%
ов    10              0.170%
сн    10              0.170%
мю    10              0.170%
нц    10              0.170%
ка    10              0.170%
йв    10              0.170%
яу    10              0.170%
вм    10              0.170%
хд    10              0.170%
мд    9               0.153%
рц    9               0.153%
щы    9               0.153%
уь    9               0.153%
нл    9               0.153%
щм    9               0.153%
нз    9               0.153%
фс    9               0.153%
зй    9               0.153%
кн    9               0.153%
бж    9               0.153%
щк    9               0.153%
фр    9               0.153%
иц    9               0.153%
ьи    9               0.153%
щя    9               0.153%
нг    9               0.153%
уя    9               0.153%
ши    9               0.153%
эч    9               0.153%
ие    9               0.153%
км    9               0.153%
мб    9               0.153%
сщ    9               0.153%
ок    9               0.153%
ыу    9               0.153%
лб    9               0.153%
уа    9               0.153%
яб    9               0.153%
чя    9               0.153%
ид    9               0.153%
фь    9               0.153%
ро    8               0.136%
ци    8               0.136%
лх    8               0.136%
хи    8               0.136%
ды    8               0.136%
иж    8               0.136%
кж    8               0.136%
ьп    8               0.136%
ьн    8               0.136%
цз    8               0.136%
сг    8               0.136%
хн    8               0.136%
пм    8               0.136%
би    8               0.136%
ку    8               0.136%
ур    8               0.136%
ьх    8               0.136%
ьб    8               0.136%
ющ    8               0.136%
цй    8               0.136%
еэ    8               0.136%
цс    8               0.136%
ьо    8               0.136%
со    8               0.136%
нэ    8               0.136%
бч    8               0.136%
иф    8               0.136%
кр    7               0.119%
яэ    7               0.119%
об    7               0.119%
вж    7               0.119%
пд    7               0.119%
жц    7               0.119%
жя    7               0.119%
ум    7               0.119%
ош    7               0.119%
уц    7               0.119%
ву    7               0.119%
бв    7               0.119%
ьт    7               0.119%
де    7               0.119%
ва    7               0.119%
лл    7               0.119%
ьр    7               0.119%
ьш    7               0.119%
чт    7               0.119%
нб    7               0.119%
яр    7               0.119%
бм    7               0.119%
нп    7               0.119%
хс    7               0.119%
щэ    7               0.119%
ож    7               0.119%
рл    7               0.119%
ба    7               0.119%
лс    7               0.119%
ди    7               0.119%
зи    7               0.119%
вя    7               0.119%
йс    7               0.119%
ия    7               0.119%
ло    7               0.119%
яо    7               0.119%
щц    7               0.119%
зь    7               0.119%
нж    7               0.119%
ущ    7               0.119%
ня    6               0.102%
да    6               0.102%
эм    6               0.102%
с     6               0.102%
ьщ    6               0.102%
щт    6               0.102%
щл    6               0.102%
фт    6               0.102%
цт    6               0.102%
ер    6               0.102%
хэ    6               0.102%
уз    6               0.102%
рк    6               0.102%
кщ    6               0.102%
гц    6               0.102%
тг    6               0.102%
кй    6               0.102%
уп    6               0.102%
в     6               0.102%
сб    6               0.102%
цб    6               0.102%
вы    6               0.102%
ыь    6               0.102%
ек    6               0.102%
дв    6               0.102%
еб    6               0.102%
оц    6               0.102%
лт    6               0.102%
бр    6               0.102%
зе    6               0.102%
уй    6               0.102%
ьм    6               0.102%
ср    6               0.102%
са    6               0.102%
во    6               0.102%
ко    6               0.102%
дж    6               0.102%
цх    6               0.102%
ик    6               0.102%
эд    6               0.102%
вл    6               0.102%
аи    6               0.102%
щу    6               0.102%
щй    6               0.102%
ьы    6               0.102%
сж    6               0.102%
ха    6               0.102%
ьж    6               0.102%
кг    6               0.102%
гс    6               0.102%
щ     6               0.102%
оу    6               0.102%
йк    6               0.102%
ща    5               0.085%
еф    5               0.085%
дф    5               0.085%
ол    5               0.085%
дт    5               0.085%
хм    5               0.085%
зк    5               0.085%
ся    5               0.085%
ьг    5               0.085%
ць    5               0.085%
цю    5               0.085%
сф    5               0.085%
ую    5               0.085%
зз    5               0.085%
н     5               0.085%
эп    5               0.085%
см    5               0.085%
цо    5               0.085%
хю    5               0.085%
сь    5               0.085%
эю    5               0.085%
ют    5               0.085%
уо    5               0.085%
зд    5               0.085%
дс    5               0.085%
рб    5               0.085%
яш    5               0.085%
го    5               0.085%
ла    5               0.085%
цж    5               0.085%
рь    5               0.085%
иш    5               0.085%
лф    5               0.085%
ре    5               0.085%
рш    5               0.085%
аь    5               0.085%
щф    5               0.085%
юх    5               0.085%
яе    5               0.085%
оф    5               0.085%
уд    5               0.085%
зщ    5               0.085%
ык    5               0.085%
вх    5               0.085%
гй    5               0.085%
гб    5               0.085%
тр    5               0.085%
дг    5               0.085%
нт    5               0.085%
эь    5               0.085%
ыщ    5               0.085%
щв    5               0.085%
тх    5               0.085%
зм    5               0.085%
ыг    5               0.085%
зн    5               0.085%
кб    5               0.085%
мж    5               0.085%
иа    5               0.085%
ар    5               0.085%
хз    4               0.068%
ти    4               0.068%
щз    4               0.068%
щп    4               0.068%
гн    4               0.068%
рд    4               0.068%
кь    4               0.068%
тт    4               0.068%
ьу    4               0.068%
йп    4               0.068%
ац    4               0.068%
цы    4               0.068%
йй    4               0.068%
ьэ    4               0.068%
ои    4               0.068%
 щ    4               0.068%
уу    4               0.068%
у     4               0.068%
ге    4               0.068%
ез    4               0.068%
рч    4               0.068%
кю    4               0.068%
ей    4               0.068%
ип    4               0.068%
хы    4               0.068%
ес    4               0.068%
ил    4               0.068%
яы    4               0.068%
бь    4               0.068%
еш    4               0.068%
эо    4               0.068%
эл    4               0.068%
чм    4               0.068%
фз    4               0.068%
ел    4               0.068%
ью    4               0.068%
р     4               0.068%
щч    4               0.068%
ич    4               0.068%
чв    4               0.068%
тз    4               0.068%
шр    4               0.068%
чш    4               0.068%
зл    4               0.068%
зв    4               0.068%
ям    4               0.068%
щю    4               0.068%
ор    4               0.068%
бд    4               0.068%
од    4               0.068%
уф    4               0.068%
вч    4               0.068%
дб    4               0.068%
хь    4               0.068%
иу    4               0.068%
фп    4               0.068%
ц     4               0.068%
чр    4               0.068%
кв    4               0.068%
гв    4               0.068%
ою    4               0.068%
 б    4               0.068%
ще    4               0.068%
лд    4               0.068%
лэ    4               0.068%
хб    4               0.068%
лн    4               0.068%
 м    4               0.068%
эж    4               0.068%
сз    4               0.068%
ьф    4               0.068%
ио    4               0.068%
фм    3               0.051%
ох    3               0.051%
сд    3               0.051%
уэ    3               0.051%
зх    3               0.051%
 ы    3               0.051%
шу    3               0.051%
кш    3               0.051%
вц    3               0.051%
 х    3               0.051%
хр    3               0.051%
ль    3               0.051%
по    3               0.051%
дм    3               0.051%
йл    3               0.051%
эр    3               0.051%
йы    3               0.051%
эу    3               0.051%
эн    3               0.051%
ед    3               0.051%
оэ    3               0.051%
шэ    3               0.051%
эб    3               0.051%
ин    3               0.051%
щж    3               0.051%
жш    3               0.051%
ту    3               0.051%
 а    3               0.051%
вб    3               0.051%
зб    3               0.051%
ьч    3               0.051%
бй    3               0.051%
эз    3               0.051%
эг    3               0.051%
юк    3               0.051%
хт    3               0.051%
лз    3               0.051%
чп    3               0.051%
лж    3               0.051%
рз    3               0.051%
зу    3               0.051%
ут    3               0.051%
тк    3               0.051%
юв    3               0.051%
ыр    3               0.051%
вщ    3               0.051%
 о    3               0.051%
зж    3               0.051%
лм    3               0.051%
яю    3               0.051%
ь     3               0.051%
ом    3               0.051%
хч    3               0.051%
щд    3               0.051%
цп    3               0.051%
чк    3               0.051%
и     3               0.051%
рэ    3               0.051%
чл    3               0.051%
шщ    3               0.051%
чб    3               0.051%
юй    3               0.051%
йо    3               0.051%
чф    3               0.051%
йр    3               0.051%
дз    3               0.051%
юш    3               0.051%
дч    3               0.051%
чц    3               0.051%
фв    3               0.051%
 ч    3               0.051%
ыф    3               0.051%
мо    3               0.051%
ой    3               0.051%
о     3               0.051%
из    3               0.051%
бы    3               0.051%
цд    3               0.051%
юэ    3               0.051%
чй    3               0.051%
бп    3               0.051%
ве    3               0.051%
эх    3               0.051%
бя    3               0.051%
хв    3               0.051%
бц    3               0.051%
яй    3               0.051%
ма    3               0.051%
ря    3               0.051%
дщ    3               0.051%
 ь    3               0.051%
фж    3               0.051%
 с    3               0.051%
 л    3               0.051%
фщ    3               0.051%
вт    3               0.051%
вк    3               0.051%
эщ    3               0.051%
цч    3               0.051%
бл    3               0.051%
ыт    3               0.051%
жр    3               0.051%
жо    3               0.051%
фю    3               0.051%
ею    2               0.034%
ае    2               0.034%
ев    2               0.034%
тм    2               0.034%
хш    2               0.034%
от    2               0.034%
тц    2               0.034%
ех    2               0.034%
жд    2               0.034%
дэ    2               0.034%
им    2               0.034%
вс    2               0.034%
цк    2               0.034%
ча    2               0.034%
шя    2               0.034%
як    2               0.034%
тч    2               0.034%
рх    2               0.034%
ыз    2               0.034%
эц    2               0.034%
юф    2               0.034%
ец    2               0.034%
бт    2               0.034%
 ш    2               0.034%
шб    2               0.034%
бо    2               0.034%
 й    2               0.034%
ьд    2               0.034%
зр    2               0.034%
бх    2               0.034%
ыш    2               0.034%
лй    2               0.034%
йа    2               0.034%
фу    2               0.034%
еч    2               0.034%
ля    2               0.034%
за    2               0.034%
ьь    2               0.034%
мп    2               0.034%
рф    2               0.034%
дй    2               0.034%
 е    2               0.034%
ее    2               0.034%
фе    2               0.034%
зо    2               0.034%
тй    2               0.034%
то    2               0.034%
чь    2               0.034%
йт    2               0.034%
ук    2               0.034%
яа    2               0.034%
зш    2               0.034%
мв    2               0.034%
бш    2               0.034%
бф    2               0.034%
ит    2               0.034%
тв    2               0.034%
дн    2               0.034%
юо    2               0.034%
