lang_bg1;lang_bg2;cipher_bg1;cipher_bg2;a;b
ст;но;вн;дк;923;604
ст;но;вн;хщ;183;284
ст;но;тн;дк;86;790
ст;но;тн;хщ;307;470
ст;но;дк;вн;38;566
ст;но;дк;тн;875;876
ст;но;дк;хщ;221;775
ст;но;дк;ун;627;535
ст;но;хщ;вн;778;467
ст;но;хщ;тн;654;777
ст;но;хщ;дк;740;35
ст;но;хщ;ун;406;436
ст;но;ун;дк;334;201
ст;но;ун;хщ;555;842
ст;то;вн;дк;892;201
ст;то;вн;хщ;307;935
ст;то;тн;дк;55;387
ст;то;тн;хщ;431;160
ст;то;дк;вн;69;8
ст;то;дк;тн;906;318
ст;то;дк;хщ;376;868
ст;то;дк;ун;658;938
ст;то;хщ;вн;654;777
ст;то;хщ;тн;530;126
ст;то;хщ;дк;585;903
ст;то;хщ;ун;282;746
ст;то;ун;дк;303;759
ст;то;ун;хщ;679;532
ст;на;вн;дк;832;227
ст;на;вн;хщ;950;304
ст;на;тн;дк;646;227
ст;на;тн;хщ;764;304
ст;на;дк;вн;129;943
ст;на;дк;тн;315;478
ст;на;дк;хщ;118;211
ст;на;дк;ун;687;509
ст;на;хщ;вн;11;447
ст;на;хщ;тн;197;943
ст;на;хщ;дк;843;599
ст;на;хщ;ун;569;13
ст;на;ун;дк;274;227
ст;на;ун;хщ;392;304
ст;ен;вн;дк;943;275
ст;ен;вн;хщ;289;174
ст;ен;тн;дк;850;523
ст;ен;тн;хщ;196;422
ст;ен;дк;вн;18;895
ст;ен;дк;тн;111;182
ст;ен;дк;хщ;307;33
ст;ен;дк;ун;297;678
ст;ен;хщ;вн;672;577
ст;ен;хщ;тн;765;825
ст;ен;хщ;дк;654;777
ст;ен;хщ;ун;951;360
ст;ен;ун;дк;664;58
ст;ен;ун;хщ;10;918
но;ст;вн;дк;38;566
но;ст;вн;хщ;778;467
но;ст;тн;дк;875;876
но;ст;тн;хщ;654;777
но;ст;дк;вн;923;604
но;ст;дк;тн;86;790
но;ст;дк;хщ;740;35
но;ст;дк;ун;334;201
но;ст;хщ;вн;183;284
но;ст;хщ;тн;307;470
но;ст;хщ;дк;221;775
но;ст;хщ;ун;555;842
но;ст;ун;дк;627;535
но;ст;ун;хщ;406;436
но;то;вн;тн;28;892
но;то;вн;тн;59;458
но;то;вн;тн;90;24
но;то;вн;тн;121;551
но;то;вн;тн;152;117
но;то;вн;тн;183;644
но;то;вн;тн;214;210
но;то;вн;тн;245;737
но;то;вн;тн;276;303
но;то;вн;тн;307;830
но;то;вн;тн;338;396
но;то;вн;тн;369;923
но;то;вн;тн;400;489
но;то;вн;тн;431;55
но;то;вн;тн;462;582
но;то;вн;тн;493;148
но;то;вн;тн;524;675
но;то;вн;тн;555;241
но;то;вн;тн;586;768
но;то;вн;тн;617;334
но;то;вн;тн;648;861
но;то;вн;тн;679;427
но;то;вн;тн;710;954
но;то;вн;тн;741;520
но;то;вн;тн;772;86
но;то;вн;тн;803;613
но;то;вн;тн;834;179
но;то;вн;тн;865;706
но;то;вн;тн;896;272
но;то;вн;тн;927;799
но;то;вн;тн;958;365
но;то;вн;ун;22;511
но;то;вн;ун;53;77
но;то;вн;ун;84;604
но;то;вн;ун;115;170
но;то;вн;ун;146;697
но;то;вн;ун;177;263
но;то;вн;ун;208;790
но;то;вн;ун;239;356
но;то;вн;ун;270;883
но;то;вн;ун;301;449
но;то;вн;ун;332;15
но;то;вн;ун;363;542
но;то;вн;ун;394;108
но;то;вн;ун;425;635
но;то;вн;ун;456;201
но;то;вн;ун;487;728
но;то;вн;ун;518;294
но;то;вн;ун;549;821
но;то;вн;ун;580;387
но;то;вн;ун;611;914
но;то;вн;ун;642;480
но;то;вн;ун;673;46
но;то;вн;ун;704;573
но;то;вн;ун;735;139
но;то;вн;ун;766;666
но;то;вн;ун;797;232
но;то;вн;ун;828;759
но;то;вн;ун;859;325
но;то;вн;ун;890;852
но;то;вн;ун;921;418
но;то;вн;ун;952;945
но;то;тн;вн;3;281
но;то;тн;вн;34;808
но;то;тн;вн;65;374
но;то;тн;вн;96;901
но;то;тн;вн;127;467
но;то;тн;вн;158;33
но;то;тн;вн;189;560
но;то;тн;вн;220;126
но;то;тн;вн;251;653
но;то;тн;вн;282;219
но;то;тн;вн;313;746
но;то;тн;вн;344;312
но;то;тн;вн;375;839
но;то;тн;вн;406;405
но;то;тн;вн;437;932
но;то;тн;вн;468;498
но;то;тн;вн;499;64
но;то;тн;вн;530;591
но;то;тн;вн;561;157
но;то;тн;вн;592;684
но;то;тн;вн;623;250
но;то;тн;вн;654;777
но;то;тн;вн;685;343
но;то;тн;вн;716;870
но;то;тн;вн;747;436
но;то;тн;вн;778;2
но;то;тн;вн;809;529
но;то;тн;вн;840;95
но;то;тн;вн;871;622
но;то;тн;вн;902;188
но;то;тн;вн;933;715
но;то;тн;ун;25;717
но;то;тн;ун;56;283
но;то;тн;ун;87;810
